character,line
TONY STARK,Huh.
MAYA HANSEN,I'm calling it Extremis.
MAYA HANSEN,"Well, it's..."
BOTH,Human application.
MAYA HANSEN,Exactly! Exactly.
MAYA HANSEN,Dendritic revitalization.
TONY STARK,It's revolutionary.
MAYA HANSEN,Disease prevention...
TONY STARK,Changes the world.
MAYA HANSEN,...even limb regrowth.
TONY STARK,You're the most gifted woman I've ever met.
MAYA HANSEN,Wow.
TONY STARK,In Switzerland.
MAYA HANSEN,"Hmm, that's better. Aw, you're seeing things."
TONY,This week.
TONY STARK,"You almost bought it, didn't you?"
MAYA HANSEN,"This is what I'm talking about, the glitch."
TONY STARK,Have you checked the telomerase algorithm?
MAYA HANSEN,The what?
HAPPY HOGAN,"Down! Stay down! Stay down, boss."
TONY STARK,We're good.
HAPPY HOGAN,Stay down.
TONY STARK,You're...you're right on me. I made it.  What the hell was that?
HAPPY HOGAN,What was that?
MAYA HANSEN,It's a glitch in my work. It's...
TONY STARK,She was just talking about it. Glitches happening.
HAPPY HOGAN,It's not Y2K.
MAYA HANSEN,No.
TONY STARK,Hey!
HAPPY HOGAN,Happy New Year.
TONY STARK,Happy New Year.
MAYA HANSEN,Happy New Year.
TONY STARK,"Alright, I'll see you in the morning, goodnight."
HAPPY HOGAN,You good?
TONY STARK,Yep.
HAPPY HOGAN,I'll be right outside.
TONY STARK,Okay.
TONY STARK,"So why am I telling you this? Because I had just created demons, and I didn't even know it."
TONY STARK,"Yeah, those were the good times. Then I moved on. After a brief soiree in an Afghan cave, I said goodbye to the party scene. Forgot that night in Switzerland. These days I'm a changed man, I'm different now. I'm well... you know who I am."
TONY STARK,Ow!
JARVIS,"Sir, please may I request just a few hours to calibrate..."
TONY STARK,No. Forty-eight.  Ah! Micro-repeater implanting sequence complete.
JARVIS,"As you wish, sir. I've also prepared a safety briefing for you to entirely ignore."
TONY STARK,"Which I will. Right, let's do this."
TONY STARK,"Dummy. Hi, Dummy. How did you get that cap on your head? You earned it."
TONY STARK,"Hey. Hey! What are you doing round in the corner? You know what you did. Blood on my mat, handle it."
JARVIS,"Sir, may I remind you that you've been awake for nearly seventy-two hours."
TONY STARK,"Focus up, ladies. Good evening, and welcome to the birthing suite. I'm pleased to announce the imminent arrival of your bouncing, bad-ass, baby brother."
TONY STARK,"Start tight and go wide, stamp in time. Mark 42 autonomous prehensile propulsion suit test. Initialize sequence."
TONY STARK,"Jarvis, drop my needle."
TONY STARK,Crap.
TONY STARK,"Alright, I think we got this. Send 'em all."
TONY STARK,"Probably a little fast, slow it down. Slow it down just a..."
TONY STARK,...little bit.
TONY STARK,"Cool it, will you, Jarvis?"
TONY STARK,Come on. I ain't scared of you.
TONY STARK,I'm the best.
JARVIS,"As always, sir, a great pleasure watching you work."
TONY STARK,And I guess seventy-two hours isn't a long time between siesta's. Didn't think it could get any worse. Then I had to go and turn on the TV.
TONY STARK,That's when he happened.
THE MANDARIN,"Some people call me a terrorist, I consider myself a teacher. America, ready for another lesson. In 1864 in Sand Creek Colorado the U.S. military waited till the friendly Cheyenne braves all gone hunting, waited to attack and slaughter their families left behind, and claim their land. Thirty-nine hours ago the Ali Al Salem Air Base in Kuwait was attacked. I...I...I did that. A quaint military church filled with wives and children, of course. The soldiers were out on maneuvers, the braves were away. President Ellis, you continue to resist my attempts to educate you, sir. And now, you've missed me again. You know who I am, you don't know where I am, and you'll never see me coming."
NEWS REPORTER #1,"And now that we seem to be back, let's recap some of the frightening..."
NEWS REPORTER #2,American Airwaves were highjacked...
NEWS REPORTER #3,The nation remains on high alert...
NEWS REPORTER #4,All attempts to find the Mandarin have so far proved unsuccessful...
PRESIDENT ELLIS,"Central to my Administration's response to this terrorist event, is a newly minted resource. I know him as Colonel James Rhodes, the American people will soon know him as the Iron Patriot."
BILL MAHER,And how is President Ellis responding? By taking the guy they call War Machine and giving him a paint job.
JOAN RIVERS,"Same suit, but painted red, white, and blue. Look at rhat. And they also renamed him Iron Patriot. You know, just in case the paint was too subtle."
COLONEL JAMES RHODES,"It tested well with focus groups, alright?"
TONY STARK,I am Iron Patriot...
COLONEL JAMES RHODES,"Listen, War Machine was a little too aggressive, alright? This sends a better message."
TONY STARK,"So what's really goin' on? With Mandarin. Seriously, can we talk about this guy?"
COLONEL JAMES RHODES,"It's classified information, Tony. Okay, there have been nine bombings."
TONY STARK,Nine.
COLONEL JAMES RHODES,"The public only knows about three. Here's the thing, nobody can ID a device. There's no bomb casings."
TONY STARK,"You know I can help, just ask. I got a ton of new tech, I got a prehensile, I got a...I got a new bomb disposal. Catches explosions mid-air."
COLONEL JAMES RHODES,When's the last time you got a good night's sleep?
TONY STARK,Einstein slept three hours a year. Look what he did?
COLONEL JAMES RHODES,"People are concerned about you, Tony. I'm concerned about you."
TONY STARK,You're gonna come at me like that?
COLONEL JAMES RHODES,"No. No, look, I'm not trying to be a dic..."
COLONEL JAMES RHODES,...tator.
ERIN,Do you mind signing my drawing?
TONY STARK,"If Richard doesn't mind.  You alright with this, Dick?"
COLONEL JAMES RHODES,Fine with me.
TONY STARK,What's your name?
ERIN,Erin.
TONY STARK,"I loved you in A Christmas Story, by the way."
COLONEL JAMES RHODES,"Listen, the Pentagon is scared. After what happened in New York... aliens, come on. They need to look strong. Stopping the Mandarin is priority, but it's not..."
TONY STARK,"It's not superhero business, I get it."
COLONEL JAMES RHODES,"No, it's not, quite frankly. It's American business."
TONY STARK,That's why I said I...got it.
COLONEL JAMES RHODES,Are you okay?
TONY STARK,I broke the crayon.
ERIN,"Are you okay, Mr. Stark?"
COLONEL JAMES RHODES,Take it easy. Tony...
LITTLE BOY,How did you get out of the wormhole? How did you get out of the wormhole?
COLONEL JAMES RHODES,Wait a minute! Tony!
TONY STARK,What'd he say?!
COLONEL JAMES RHODES,Tony!
TONY STARK,Sorry. Have to check on the suit...make sure...okay.
TONY STARK,"Check the heart, check the...check the...is it the brain?"
JARVIS,No sign of cardiac analomy or unusual brain activity.
TONY STARK,"Okay, so I was poisoned?"
JARVIS,My diagnosis is that you've experienced a severe anxiety attack.
TONY STARK,Me?
COLONEL JAMES RHODES,"Come on, man. This isn't a good look, open up."
TONY STARK,"Sorry, I gotta split."
HAPPY HOGAN,"Badge. Badge. Come on, badge. Badge, guys. I put a memo in the toilet, come on.  Tony has got them in his basement, they're wearing party hats. This is an asset that we can put to use."
PEPPER POTTS,"Uh-huh. So, you're suggesting that I replace the entire janitorial staff with robots?"
HAPPY HOGAN,What I'm saying is that the human element of Human Resources is our biggest point of vulnerability. We should start phasing it out immediately.
PEPPER POTTS,What!?
HAPPY HOGAN,"Excuse me, Bambi."
PEPPER POTTS,Did you just say that?
HAPPY HOGAN,Security.
PEPPER POTTS,Happy?
HAPPY HOGAN,Yes.
PEPPER POTTS,"Okay, I am thrilled that you're now the Head of Security, okay? It is the perfect position for you."
HAPPY HOGAN,Thank you.
PEPPER POTTS,However...
HAPPY HOGAN,I do appreciate it
PEPPER POTTS,Since you've taken the post...
HAPPY HOGAN,You don't have to thank me.
PEPPER POTTS,We've had a rise in staff complaints of three hundred percent
HAPPY HOGAN,Thank you.
PEPPER POTTS,That's not a compliment.
HAPPY HOGAN,That's not a compli...? It is a compliment! Clearly somebody's trying to hide something.
PEPPER POTTS,I...
PEPPER'S ASSISTANT,Excuse me.
PEPPER POTTS,Yes?
PEPPER'S ASSISTANT,"Miss Potts, your four o'clock is here."
PEPPER POTTS,Thank you.
HAPPY HOGAN,Did you clear this four o'clock with me?
PEPPER POTTS,"Happy, we'll talk about this later. But right now I have to go deal with this very annoying thing."
HAPPY HOGAN,How so?
PEPPER POTTS,"I used to work with him, and he used to ask me out all the time. So it's a little awkward."
HAPPY HOGAN,I don't like the sound of that.
ALDRICH KILLIAN,Pepper.
PEPPER POTTS,Killian?
ALDRICH KILLIAN,You look great. You look really great.
PEPPER POTTS,"God, you look...you look great. I... I...I can't... What on earth have you been doing?"
ALDRICH KILLIAN,"Nothing fancy, just five years in the hands of physical therapists. And please, call me Aldrich."
HAPPY HOGAN,Uh...you were supposed to be issued a security badge.
PEPPER POTTS,"Happy, it's okay."
HAPPY HOGAN,Yes?
PEPPER POTTS,We're good.
HAPPY HOGAN,You sure?
PEPPER POTTS,Yes. Stand down.
HAPPY HOGAN,"Okay. I'm gonna linger, right here."
PEPPER POTTS,Thank you.
HAPPY HOGAN,Okay.
PEPPER POTTS,"It's very nice to see you, Killian."
HAPPY HOGAN,"Hey, guy."
SAVIN,Merry Christmas.
ALDRICH KILLIAN,"After years dodging the President's ban on ""immoral biotech research"", my think tank now has a little something in the pipeline. It's an idea we like to call Extremis. I'm gonna turn your lights down."
ALDRICH KILLIAN,Regard the human brain.
ALDRICH KILLIAN,"Uh...wait. Hold on, hold on. That's...that's the universe, my bad. But if I do that..."
ALDRICH KILLIAN,"That's the brain. Strangely mimetic though, wouldn't you say?"
ALDRICH KILLIAN,"Thanks, it's mine."
PEPPER POTTS,What?
ALDRICH KILLIAN,This...you're inside my head. It's a...
ALDRICH KILLIAN,"It's a live feed. Come on up, I'll prove it to you."
ALDRICH KILLIAN,Come on.
ALDRICH KILLIAN,"Now, pinch my arm. I can take it. Pinch me."
PEPPER POTTS,What is that?
ALDRICH KILLIAN,It's the primary somatosensory cortex. It's the brain's pain center. But this is what I wanted to show you.
ALDRICH KILLIAN,"Now, Extremis harnesses our bioelectrical potential and it goes...here. This is essentially an empty slot, and what this tells us is that our mind, our entire DNA in fact, is destined to be upgraded."
PEPPER POTTS,Wow.
HAPPY HOGAN,Hello?
TONY STARK,Is this forehead of Security?
HAPPY HOGAN,"What? You know, look, I got a real job. What do you want? I'm working, I got something going on here."
TONY STARK,What? Harassing interns?
HAPPY HOGAN,"Let me tell you something, you know what happened when I told people I was Iron Man's body guard? They would laugh in my face."
HAPPY HOGAN,"I had to leave while I still had a shred of dignity. Now I got a real job, I'm watching Pepper."
TONY STARK,What's going on? Fill me in.
HAPPY HOGAN,For real?
TONY STARK,Yeah.
HAPPY HOGAN,"Alright, so she's meeting up with this scientist. Rich guy, handsome."
TONY STARK,Right.
HAPPY HOGAN,"I couldn't make his face at first, right? You know I'm good with faces."
TONY STARK,"Oh, Yeah, yeah. You're the best."
HAPPY HOGAN,"Yeah. Well, so I run his credentials, I make him Aldrich Killian. We actually met the guy back in... where were we in '99? The science conference?"
TONY STARK,Um...Switzerland.
HAPPY HOGAN,"Right, right, exactly."
TONY STARK,"Killian? No, I don't remember that guy."
HAPPY HOGAN,"Of course you don't. He's not a blond with a big rack. At first it was fine, they were talking business, but now it's like getting weird. He's showing her a big brain."
TONY STARK,His what?
HAPPY HOGAN,"Big brain, and she likes it. Here, let me show you. Hold on. See?"
TONY STARK,Look at what? You watching them? Flip the screen and then we can get started.
HAPPY HOGAN,"I'm not a tech genius like you. Just...just trust me, get down down here."
TONY STARK,"Flip the screen, then I can see what they're doing."
HAPPY HOGAN,I can't! I don't know how to flip the screen! Don't talk to me like that anymore. You're not my boss.
HAPPY HOGAN,"Alright, I don't work for you. Now I don't trust this guy. He's got another guy with him, he's shifty."
TONY STARK,Relax.
HAPPY HOGAN,Seriously?
TONY STARK,I'm just asking you to secure the perimeter. Tell him to go out for a drink or something?
HAPPY HOGAN,"You know what? You should take more of an interest in what's going on here. This woman... this woman's the best thing that ever happened to you, and you...you're just ignoring her."
TONY STARK,A giant brain?
HAPPY HOGAN,"Yeah, there's a giant brain, there's a shifty character. I'm gonna follow this guy. I'm gonna run his plates and if it gets rough, so be it."
TONY STARK,"I miss you, Happy."
HAPPY HOGAN,"Yeah, I miss you too. But the way it used to be. Now you're off with the 'superfriends', I don't know what's going on with you anymore. The world's getting weird..."
TONY STARK,"Hey, I...I'd hate to cut you off. Do you have your taser on you?"
HAPPY HOGAN,Why?
TONY STARK,"I think there's a gal in HR who's trying to steal some printer ink, you should probably go over there and zap her."
HAPPY HOGAN,"Yeah, nice."
ALDRICH KILLIAN,Imagine if you could hack into the hard drive of any living organism and recode its DNA.
PEPPER POTTS,It would be incredible.
ALDRICH KILLIAN,Mm.
PEPPER POTTS,"Unfortunately, to my ears it also sounds highly weaponizable. As in enhanced soldiers, private armies, and Tony is not..."
ALDRICH KILLIAN,"Tony. Tony. You know, I invited Tony to join AIM thirteen years ago, he turned me down. But something tells me now there is a new genius on the throne who doesn't have to answer to Tony anymore, and who has slightly less of an ego."
PEPPER POTTS,"It's gonna be a no, Aldrich. As much as I'd like to help you."
ALDRICH KILLIAN,"Well, I can't say that I'm not disappointed. But then as my father used to say, 'Failure is the fog through which we glimpse triumph.'"
PEPPER POTTS,That's very deep.
ALDRICH KILLIAN,Mm
PEPPER POTTS,And I have no idea what it means.
ALDRICH KILLIAN,"Well, me neither. He was kind of an idiot, my old man."
ALDRICH KILLIAN,"I'm sure I'll see you again, Pepper."
PEPPER POTTS,Happy...
HAPPY HOGAN,"The car is ready, if you're ready to go."
PEPPER POTTS,"Yes. I just um... God, I forgot my... other thing, so... I'm just gonna..."
PEPPER POTTS,I'm sorry I'm late. I was... What the...? What is that?!
PEPPER POTTS,"You're wearing this in the house now? What is that, like Mark 15?"
TONY STARK,Uh...yeah. Something like that. You know everybody needs a hobby.
PEPPER POTTS,"Oh, and you have to wear your hobby in the living room?"
TONY STARK,"Just breakin' it in. You know, it's always a little pinchy in the gooey bag at first, so."
TONY STARK,"Oh hey, did you see your Christmas present?"
PEPPER POTTS,"Yes, I did. I...I don't know how I could have missed that Christmas present. Is it gonna fit through the door?"
TONY STARK,"Well actually, uh...it's a good question. I got a team of guys comin' tomorrow, they're gonna blow out that wall."
PEPPER POTTS,Okay.
TONY STARK,"So, uh...tense? Good day?"
TONY STARK,"Ooh shoulders, a little naughty. Naughty girl. I don't wanna harp on this, but did you like the custom rabbit?"
PEPPER POTTS,Did I like it?
TONY STARK,"Nailed it, right?"
PEPPER POTTS,Wow. I appreciate the thought very much.
PEPPER POTTS,So why don't you lift up that face mask and give me a kiss?
TONY STARK,"Huh. Yup, dammit. No can do. You wanna just kiss it on the..."
PEPPER POTTS,Uh-huh.
TONY STARK,The facial slit?
PEPPER POTTS,"Well, why don't I run down to the garage and see if I can't find a crowbar to shimmy that thing open?"
TONY STARK,Crowbar. Yeah.
TONY STARK,"Oh, except there's been a...uh...a radiation leak."
PEPPER POTTS,I'll take my chances.
TONY STARK,That's risky.
TONY STARK,At least let me get you like a Hazmat suit or a Geiger counter or something like that.
TONY STARK,Busted.
PEPPER POTTS,This is a new level of lame.
TONY STARK,Sorry.
PEPPER POTTS,"You ate without me, already? On date night?"
TONY STARK,He was just...
PEPPER POTTS,You mean you?
TONY STARK,"Well, yeah. I just mean we were just...just hosting you while I finished up a little work."
PEPPER POTTS,Uh-huh.
TONY STARK,"And yes, I had a quick bite. I didn't know if you were comin' home or if you were having drinks with Aldrich Killian."
PEPPER POTTS,What?
TONY STARK,What?
PEPPER POTTS,Aldrich Killian? What are you checking up on me?
TONY STARK,Happy was concerned.
PEPPER POTTS,"No, you're spying on me."
TONY STARK,I wasn't...
PEPPER POTTS,I'm going to bed.
TONY STARK,Hold on. Come on. Pep.
TONY STARK,"Hey, I admit it! My fault. Sorry."
TONY STARK,"I'm a piping hot mess. It's been going on for a while, I haven't said anything."
TONY STARK,Nothing's been the same since New York.
PEPPER POTTS,"Oh really? Well, I didn't notice that, at all."
TONY STARK,"You experience things and then they're over and you still can't explain 'em. Gods, aliens, other dimensions. I...I'm just a man in a can. The only reason I haven't cracked up is probably because you moved in. Which is great. I love you, I'm lucky. But, honey, I can't sleep. You go to bed, I come down here. I do what I know, I tinker."
TONY STARK,"But threat is imminent, and I have to protect the one thing that I can't live without. That's you. My suits, they're uh..."
PEPPER POTTS,Machines.
TONY STARK,They're part of me.
PEPPER POTTS,A distraction.
TONY STARK,Maybe.
PEPPER POTTS,I'm gonna take a shower.
TONY STARK,Okay.
PEPPER POTTS,And you're gonna join me.
TONY STARK,Better.
PEPPER POTTS,Tony! Tony! Tony! Tony...
TONY STARK,Power down!
TONY STARK,"I must have called it in my sleep. That's not supposed to happen. I'll recalibrate the sensors. Can we just...just let me...just let me catch my breath, okay?"
TONY STARK,"Don't go, alright? Pepper?"
PEPPER POTTS,I'm going to sleep downstairs. Tinker with that.
SAVIN,Can you regulate?
TAGGERT,"Yes, I can regulate."
SAVIN,Are you sure about that?
TAGGERT,Yes.
SAVIN,It's a decent batch. Don't say I never did nothin' for you.
TAGGERT,Thank you...I mean for understanding.
HAPPY HOGAN,"I'm sorry, buddy."
SAVIN,"What are you doin', buddy? You out by yourself? A little date night? Watching your favorite chick flick maybe?"
HAPPY HOGAN,"Yeah, a little movie called ""The Party's Over"", starring you and your junkie girlfriend, and here's the ticket."
SAVIN,No kidding? That doesn't belong to you.
TAGGERT,Savin!
SAVIN,What?
TAGGERT,Help! Help me!
THE MANDARIN,"True story about fortune cookies. They look Chinese, they sound Chinese, but they're actually an American invention. Which is why they're hollow, full of lies, and leave a bad taste in the mouth. My disciples just destroyed another cheap American knock-off, The Chinese Theater. Mr. President, I know this must be getting frustrating, but this season of terror is drawing to a close. And don't worry, the big one is coming; your graduation."
TONY STARK,Hi.
HAPPY'S NURSE,Oh.
TONY STARK,Uh...mind leaving that on?
HAPPY'S NURSE,Sure.
TONY STARK,"Sunday night's PBS 'Downtown Abbey'. That's his show, he thinks it's elegant.  One more thing...make sure everyone wears their badges. He's a stickler for that sort of thing, plus my guys won't let anyone in without them."
HOSPITAL NEWS REPORTER,We're awaiting the arrival of Tony Stark. We're hoping he'll give us the reaction...his reaction to the latest attack.  Mr. Stark! Mr. Stark! Our sources are telling us that this is another Mandarin attack. Anything else you can tell us?
PUSHY TABLOID REPORTER,"Hey, Mr. Stark! When is somebody gonna kill this guy? Just sayin'."
TONY STARK,"Is that what you want? Here's a little Holiday greeting I've been wanting to send to the Mandarin. I just didn't know how to phrase it until now. My name is Tony Stark and I'm not afraid of you. I know you're a coward, so I've decided  that you just died, pal. I'm gonna come get the body. There's no politics here; it's just good old-fashioned revenge. There's no Pentagon; it's just you and me. And on the off-chance you're a man, here's my home address: 10-8-80, Malibu Point, 9-0-2-6-5. I'll leave the door unlocked.  That's what you wanted, right?  Bill me."
JARVIS,"I've compiled a Mandarin database for you, sir. Drawn from S.H.I.E.L.D., F.B.I., and C.I.A. intercepts. Initiating virtual crime scene reconstruction."
TONY STARK,"Okay, what do we got here? His name is an ancient Chinese war mantle, meaning ""adviser to the King"". South American insurgency tactics, talks like a Baptist preacher. There's lots of pageantry going on here...lots of theater.  Close."
JARVIS,The heat from the blast was in excess of 3000 degrees Celsius. Any subjects within 12.5 yards were vaporized instantly.
TONY STARK,No bomb parts found in a three mile radius of the Chinese theater.
JARVIS,"No, sir."
TONY STARK,"Talk to me, Happy.  When is a bomb not a bomb?  When is a bomb not a bomb?  Any military victims?"
JARVIS,"Not according to public records, sir."
TONY STARK,"Bring up the thermogenic signatures again, factor in three thousand degrees."
JARVIS,The oracle cloud has completed analysis. Accessing satellites and plotting the last twelve months of thermogenic occurrence now.
TONY STARK,Take away everywhere that there's been a Mandarin attack.  Nope.  That. You sure that's not one of his?
JARVIS,It predates any known Mandarin attack. The incident was the use of a bomb to assist a suicide.
TONY STARK,Bring her around.
JARVIS,The heat signature is remarkably similar. Three thousand degrees Celsius.
TONY STARK,"That's two military guys. Ever been to Tennessee, Jarvis?"
JARVIS,Creating a flight plan for Tennessee.
TONY STARK,"Are we still at ""ding-dong""? We're supposed to be on total security lock down. Come on, I threatened a terrorist. Who is that?"
JARVIS,"There's only so much I can do, sir, when you give the world's press your home address."
TONY STARK,"Right there's fine.  You're not the Mandarin, are you? Are you?"
MAYA HANSEN,You don't remember. Why am I not surprised?
TONY STARK,"Don't take it personally, I don't remember what I had for breakfast."
JARVIS,"Gluten-free waffles, sir."
TONY STARK,That's right.
MAYA HANSEN,"Okay, look, I need to be alone with you. Someplace not here, it's urgent."
TONY STARK,"Normally, I'd go for that sort of thing, but now I'm in a committed relationship.  It's...with her."
PEPPER POTTS,"Tony, is somebody there?"
TONY STARK,"Yeah, it's Maya Hansen.  Old botanist pal that I used to know, barely.  Please don't tell me that there is a twelve year-old kid waiting in the car that I've never met."
MAYA HANSEN,"He's thirteen. And no, I need your help."
TONY STARK,What...what for? Why now?
MAYA HANSEN,"Because I read the papers, and, frankly, I don't think you'll last the week."
TONY STARK,I'll be fine.
PEPPER POTTS,"I'm sorry. With Happy in the hospital, I didn't know we were expecting guests."
TONY STARK,We weren't.
MAYA HANSEN,"No, I..."
PEPPER POTTS,And old girlfriends!
TONY STARK,She's not really.
MAYA HANSEN,"No, not really. It...it was just one night."
TONY STARK,Yep.
PEPPER POTTS,"That's how you did it, isn't it? Yep."
TONY STARK,It was a great night.
PEPPER POTTS,"Well, you know..."
MAYA HANSEN,Yeah.
PEPPER POTTS,You have saved yourself a world of pain.
MAYA HANSEN,I'm sure.
TONY STARK,What?
PEPPER POTTS,Trust me.  We're going out of town.
TONY STARK,"Okay, we've been through this. Nope."
PEPPER POTTS,Yep!
TONY STARK,The man says no.
PEPPER POTTS,Immediately and indefinitely!
TONY STARK,Honey...
MAYA HANSEN,Great idea. Let's go.
TONY STARK,I'm sorry. That's a terrible idea. Please don't touch her bags.
PEPPER POTTS,"Tony, this is how normal people behave."
TONY STARK,I can't protect you out there. I challenged...
MAYA HANSEN,Is...is that normal?
TONY STARK,"Yes, this is normal!"
PEPPER POTTS,"Sadly, that...is very normal."
TONY STARK,"It's a big bunny, relax about it!"
PEPPER POTTS,Calm down!
TONY STARK,I got this for you.
PEPPER POTTS,I'm aware of that.
TONY STARK,You still haven't even told me that you liked it!
PEPPER POTTS,I don't like it!
TONY STARK,I asked you three... You don't like it?!
PEPPER POTTS,"Tony, we are leaving the house; that's not even up for discussion."
TONY STARK,I said no.
MAYA HANSEN,"Guys, can we um..."
TONY STARK,What?
MAYA HANSEN,Do we need to worry about that?
PEPPER POTTS,I got you.
TONY STARK,"I got you first. Like I said, we can't stay here.  Move! I'm right behind!  Get her, I'm gonna find a way around.  Stop stopping! Get her, get outside! Go!"
PEPPER POTTS,Oh my God. Tony!
JARVIS,"Sir, Miss Potts is clear of the structure."
TONY STARK,"Jarvis, where's my flight power?!"
JARVIS,"Working on it, sir. This is a prototype."
TONY STARK,That's one.
JARVIS,"Sir, the suit is not combat-ready."
TONY STARK,That's two.
PEPPER POTTS,Tony!
JARVIS,"Sir, take a deep breath.  Flight power restored."
JARVIS,Sir. Sir!
TONY STARK,"Alright, kill the alarm. I got it."
JARVIS,That's the emergency alert triggered by the power dropping below five percent.
TONY STARK,"It's snowing, right? Where are we, upstate?"
JARVIS,"We're five miles outside of Rose Hills, Tennessee."
TONY STARK,"Why?! Jarvis! Not my idea! What are we doing here? This is thousands of miles away, I gotta get Pepper, I gotta..."
JARVIS,I prepared a flight plan. This was the location.
TONY STARK,Who asked you? Open the suit.
JARVIS,"I...I think I may be malfunctioning, sir."
TONY STARK,Open eject.  That's brisk!  Maybe I'll just cozy back up for a bit.
JARVIS,"I actually think I need to sleep now, sir."
TONY STARK,"Jarvis. Jarvis? Don't leave me, buddy."
COMPUTER VOICE,Stark Secure Server: Now transferring to all known receivers.
TONY STARK,"Pepper, it's me. I've got a lot of apologies to make and not a lot of time. So first off, I'm so sorry I put you in harm's way. That was selfish and stupid and it won't happen again. Also, it's Christmas time, the rabbit's too big. Done. Sorry. And I'm sorry in advance because...I can't come home yet. I need to find this guy. You gotta stay safe. That's all I know. I just stole a poncho from a wooden Indian.  Let's get you comfy.  You happy now?"
HARLEY KEENER,Freeze! Don't move.
TONY STARK,"You got me. Nice potato gun. Barrel's a little long. Between that and the wide gauge, it's gonna diminish your FPS.  And now you're out of ammo."
HARLEY KEENER,What's that thing on your chest?
TONY STARK,"It's a electromagnet. You should know, you've got a box of them right here."
HARLEY KEENER,What does it power?  Oh my God!  Oh my god! That... that's... Is that Iron Man?
TONY STARK,"Technically, I am."
HARLEY KEENER,"Technically, you're dead."
TONY STARK,A valid point.
HARLEY KEENER,What happened to him?
TONY STARK,"Life. I built him, I take care of him, I'll fix him."
HARLEY KEENER,Like a mechanic?
TONY STARK,Yeah.
HARLEY KEENER,Oh. If I was building Iron Man and War Machine.
TONY STARK,It's Iron Patriot now.
HARLEY KEENER,That's way cooler!
TONY STARK,"No, it's not."
HARLEY KEENER,"Anyways, I would have added in um... the retro..."
TONY STARK,Retroreflective panels?
HARLEY KEENER,To make him stealth mode.
