character,line
FURY,"Sir, please put down the spear!"
LOKI,You have heart.
LOKI,Please don’t. I still need that.
FURY,This doesn’t have to get any messier.
LOKI,"Of course it does. I’ve come too far for anything else. I am Loki, of Asgard. And I am burdened with glorious purpose."
SELVIG,"Loki, brother of Thor? "
FURY,We have no quarrel with your people.
LOKI,An ant has no quarrel with a boot.
FURY,You planning to step on us?
LOKI,"I come with glad tidings, of a world made free. "
FURY,Free from what?
LOKI,"Freedom. Freedom is life’s great lie. Once you accept that, in your heart you will know peace."
FURY,"Yeah, you say peace. I kinda think you mean the other thing. "
BARTON,"Sir, Director Fury is stalling. This place is about to blow and drop a hundred feet of rock on us. He means to bury us. "
FURY,Like the pharaohs of old.
SELVIG,He’s right. The portal is collapsing in on itself. We’ve got maybe two minutes before this goes critical.
LOKI,Well then.
BARTON,We need this vehicles.
MARIA HILL,Who’s that?
BARTON,Didn’t tell me.
FURY,Hill!
FURY,Do you copy?
FURY,Barton...has turned.
FURY,Get the Tesseract. Shut them down.
AGENT COULSON,"Let’s just go. No-no-no! Leave it, leave it. GO!"
AGENT COULSON,"We’re clear upstairs, sir..."
AGENT COULSON,...We need to go.
AGENT COULSON,Director.
AGENT COULSON,"Director Fury, do you copy? "
FURY,The Tesseract is with a hostile force. I have men down. Hill?
MARIA HILL,A lot of men still under. Don’t know how many survivors.
FURY,Sound a general call. I want every living soul...
FURY,...not working rescue looking for that briefcase.
MARIA HILL,Roger that.
FURY,"Coulson, get back to base. "
FURY,This is a level seven.
FURY,As of right now...
FURY,We are at war.
AGENT COULSON,What do we do?
GEORGI LUCHKOV,This isn’t how I wanted this evening to go.
NATASHA,I know how you wanted this evening. Believe me this is better.
GEORGI LUCHKOV,"Who are you working for? Lermentov, yes?"
GEORGI LUCHKOV,Does he think we have to go through him to move our cargo?
NATASHA,I thought General Solohob is in charge of the export business.
GEORGI LUCHKOV,"Solohob. A bagman, a front. Your outdated information betrays you. The famous Black Widow is just another pretty face. "
NATASHA,You really think I’m pretty?
GEORGI LUCHKOV,Tell Lermentov we don’t need him to move the tanks. Tell him he is out. Well...You may have to write it.
WEASELLY THUG,It’s for her.
GEORGI LUCHKOV,You listen carefully-
AGENT COULSON,"You’re at 1- 14 Silensky Plaza, 3rd floor. We have an F-22 exactly eight miles out. Put the woman on the phone or I will blow up the block before you can make the lobby.  We need you to come in. "
NATASHA,Are you kidding? I’m working.
AGENT COULSON,This takes precedence.
NATASHA,"I’m in the middle of an interrogation, and this moron is giving me everything. "
GEORGI LUCHKOV,I not- give everything.
NATASHA,"Look, you can’t pull me out of this right now. "
AGENT COULSON,Natasha...Barton’s been compromised.
NATASHA,Let me put you on hold.
NATASHA,Where’s Barton now?
AGENT COULSON,We don’t know.
NATASHA,But he’s alive?
AGENT COULSON,"We think so.  We’ll brief you on everything when you get back. But first, we need you to talk to the big guy. "
NATASHA,"Coulson, you know that Stark trusts me about as far as he can throw me. "
AGENT COULSON,Oh I’ve got Stark! You get the big guy.
NATASHA,My God.
CALCUTTA WOMAN,Who are you? Get out! There is sickness here!
YOUNG GIRL,Are you the doctor? I need a doctor. My father. My father’s not waking up! He has a fever and he’s moaning but his eyes won’t open.
BANNER,Slow down.
YOUNG GIRL,My father-
BANNER,Like them?
YOUNG GIRL,Please!
BANNER,Should have got paid upfront Banner.
NATASHA,"You know, for a man who’s supposed to be..."
NATASHA,"...avoiding stress, you picked a hell of a place to settle. "
BANNER,Avoiding stress isn’t the secret.
NATASHA,Then what is it? Yoga?
BANNER,And you brought me to the end of the city. Smart.  I- uh- I assume the whole place is surrounded.
NATASHA,Just you and me.
BANNER,"And your actress buddy? She a spy too, they start that wrong? "
NATASHA,I did.
BANNER,Who are you?
NATASHA,Natasha Romanoff.
BANNER,"Are you here to kill me, Ms Romanoff? ’Cause that’s not going to work out for everyone. "
NATASHA,"No, no. Of course not. I’m here on behalf of SHIELD. "
BANNER,SHIELD. How’d they find me?
NATASHA,"We never lost you, Doctor. We’ve kept our distance, even helped keep some other interested parties off your scent. "
BANNER,Why?
NATASHA,Nick Fury seems to trust you. But now we need you to come in.
BANNER,What if I say no?
NATASHA,I’ll persuade you. 
BANNER,And what if the- Other Guy says no?
NATASHA,You’ve been more than a year without an incident. I don’t think you want to break that streak.
BANNER,"Well, I don’t every time get what I want. "
NATASHA,"Doctor, we’re facing a potential global catastrophe. "
BANNER,Oh those I actively try to avoid.
NATASHA,This  is the Tesseract.  It has the potential energy to wipe out the planet.
BANNER,What does Fury want me to do? Swallow it?
NATASHA,"He wants you to find it. It’s been taken. It emits a Gamma signature that’s too weak for us to trace. No one knows Gamma radiation like you do. If there was, that’s where I’d be. "
BANNER,So Fury isn’t after the monster?
NATASHA,Not that he’s told me.
BANNER,And he tells you everything?
NATASHA,"Talk to Fury, he needs you on this. "
BANNER,He needs me in a cage?
NATASHA,No one’s going to put you in a-
BANNER,STOP LYING TO ME!  I’m sorry. That was mean. I just wanted to see what you’d do.  Why don’t we do this the easy way where you don’t use that and the- Other Guy doesn’t make a mess? Okay?....Natasha.
NATASHA,Stand down. We’re good here.
BANNER,Just you and me?
COUNCILMAN,"This is out of line, Director. You’re dealing with forces you can’t control. "
FURY,"You ever been in a war, councilman? In a fire fight? Did you feel an over abundance of control? "
COUNCILMAN,You’re saying that this Asgard is declaring war on our planet?
FURY,"Not Asgard, Loki. "
COUNCILWOMAN,"He can’t be working alone. What about the other one, his brother? "
FURY,Our intelligence says Thor is not a hostile. But he’s worlds away and we can’t depend on him to help either. It’s up to us.
COUNCILMAN,"Which is why you should be focusing on Phase Two, it was designed for exactly this purpose. "
FURY,Phase Two isn’t ready; our enemy is. We need a response team.
COUNCILMAN,The Avengers Initiative was shut down.
FURY,This isn’t about the Avengers.
COUNCILMAN,We’re running the world’s greatest covert security network and you’re gonna leave the fate of the human race to a handful of freaks.
FURY,"I’m not leaving anything to anyone. We need a response team. These people may be isolated, unbalanced even, but I believe, with the right push, they can be exactly what we need. "
COUNCILWOMAN,You believe!
COUNCILMAN,"War isn’t won by sentiment, Director. "
FURY,"No, It’s won by soldiers."
CAPTAIN AMERICA,There’s not enough time. I gotta put her in the water.
PEGGY CARTER,You won’t be alone.
SCIENTIST,Oh my God. This guy’s still alive.
FURY,Trouble sleeping?
STEVE,"Slept for seventy years, Sir. I think I’ve had my fill."
FURY,"Then you should be out, celebrating, seeing the world. "
STEVE,"When I went under, the world was at war. I wake up- they say we won. They didn’t say what we lost. "
FURY,"We’ve made some mistakes along the way, some very recently. "
STEVE,"You here with a mission, Sir? "
FURY,I am.
STEVE,Trying to get me back in the world?
FURY,Trying to save it.
STEVE,HYDRA’s secret weapon.
FURY,Howard Stark fished that out of the ocean when he was looking for you. He thought what we think. The Tesseract could be the key to unlimited sustainable energy. That’s something the world sorely needs.
STEVE,Who took it from you?
FURY,He’s called Loki. He’s- not from around here. There’s a lot we’ll have to bring you up to speed on if you’re in. The world has gotten even stranger than you already know.
STEVE,At this point I doubt anything would surprise me.
FURY,Ten bucks says you’re wrong. There’s a debriefing packet waiting for you back at your apartment. Is there anything you can tell us about the Tesseract that we ought to know now?
STEVE,You should have left it in the ocean.
IRON MAN,Good to go on this end. The rest is up to you.
PEPPER,You disconnected the transmission lines? Are we off the grid?
TONY,Stark Tower’s about to become a beacon of self-sustaining clean energy.
PEPPER,"Well, assuming the arc reactor takes over and it actually works."
TONY,I assume. Light her up.
PEPPER,How does it look?
TONY,Like Christmas...
TONY,...but with more- me.
PEPPER,We’ve got to go wider on the public awareness campaign. You need to do some press.
PEPPER,I’m in DC tomorrow. I’m working on the zoning for the next three buildings.
TONY,"Pepper, you’re killing me at the moment. Remember, enjoy the moment. "
PEPPER,Then get in here and I will.
JARVIS,"Sir, Agent Coulson of SHIELD is on the line. "
TONY,I’m not in. I’m actually out.
JARVIS,"Sir, I’m afraid he’s insisting. "
TONY,"Grow a spine, JARVIS. I got a date."
PEPPER,Levels are holding steady- I think.
TONY,"Of course they are, I was directly involved. Which leads me to my next question. How does it feel to be a genius?"
PEPPER,"Well, ah, I really wouldn’t know now would I? "
TONY,What do you mean? All this came from you.
PEPPER,"No, all this came from that."
TONY,"Give yourself some credit, please. Stark Tower is your baby. Give yourself- twelve percent of the credit. "
PEPPER,Twelve percent?
TONY,An argument can be made for fifteen.
PEPPER,Twelve percent of my baby?
TONY,"Well, I did do all the heavy lifting. Literally, I lifted the heavy things and sorry but, the security snafu? That was on you. "
PEPPER,Oh!
TONY,My private elevator.
PEPPER,You mean our elevator.
TONY,"Yeah, it was teeming with sweaty workmen. I’m going to pay for that comment about percentages in some subtle way later aren’t I? "
PEPPER,Not gonna be that subtle.
TONY,"I’ll tell you what, next building is gonna say ’Potts’ on the tower. "
PEPPER,On the lease!
TONY,"Call your mum, can you bunk over? "
JARVIS,"Sir, the telephone. I’m afraid my protocols are being overridden. "
TONY,Ah-
AGENT COULSON,"Mr. Stark, we need to talk. "
TONY,You have reached the Life Model Decoy of Tony Stark. Please leave a message.
AGENT COULSON,This is urgent.
TONY,Then leave it urgently.  Security breach. That’s on you!
PEPPER,Phil! Come in!
TONY,Phil?
AGENT COULSON,I can’t stay.
TONY,"Uh, his first name is Agent. "
PEPPER,"Come on in, we’re celebrating. "
TONY,Which is why he can’t stay.
AGENT COULSON,"We need you to look this over, as soon as possible."
TONY,I don’t like being handed things.
PEPPER,"That’s fine because I love to be handed things. So, let’s trade. Thank you. "
TONY,Official consulting hours are between eight and five every other Thursday.
AGENT COULSON,This isn’t a consultation.
PEPPER,Is this about the Avengers?  Which I know nothing about.
TONY,"The Avengers Initiative was scrapped, I thought, and I didn’t even qualify. "
PEPPER,I didn’t know that either.
TONY,"Yeah, apparently I’m volatile, self-obsessed, don’t play well with others. "
PEPPER,That I did know.
AGENT COULSON,This isn’t about personality profiles anymore.
TONY,"Whatever! Ms. Potts, got a sec? "
PEPPER,Half a moment.
TONY,"You know, I thought we were having a moment. "
PEPPER,I was having twelve percent of a moment.  This seems serious. Phil looks pretty shaken.
TONY,How would you notice- why is he Phil?
PEPPER,What is all this?
TONY,This is- ah... ...this!
PEPPER,I’m going to take the jet to DC tonight.
TONY,Tomorrow.
PEPPER,You have homework. You have a lot of homework.
TONY,"Well, what if I didn’t? "
PEPPER,"If you didn’t? You mean when you finished? Well, um, then-"
TONY,Square deal. Fly safe. They kiss.
PEPPER,"Work hard.  So, any chance you’re driving by LaGuardia? "
AGENT COULSON,I can drop you off.
PEPPER,"Fantastic. Ooh, I want to hear about the ah- cellist, is that still a thing?"
AGENT COULSON,She moved back to Portland.
PEPPER,What?...Boo.
FACELESS PILOT,"We’re about forty minutes out from home base, Sir."
STEVE,"So, this Doctor Banner was trying to replicate the serum they used on me? "
AGENT COULSON,A lot of people were. You were the world’s first superhero. Banner thought Gamma radiation might hold the key to unlocking Erskine’s original formula.
STEVE,"Didn’t really go his way, did it? "
AGENT COULSON,"Not so much. When he’s not that thing though, guy’s like a Stephen Hawking. He’s like a- smart person. I gotta say- it’s an honor to meet you, officially. I sort of met you, I mean, I watched you while you were sleeping. I mean, I was, I was present, while you were unconscious from-the-ice."
AGENT COULSON,You know it’s really- it’s just a- just a huge honor to have you on board- it’s...
STEVE,"Well, I hope I’m the man for the job. "
AGENT COULSON,"Oh you are, absolutely. Ah- we made some modifications to the uniform. I had a little design input. "
STEVE,The uniform? Aren’t the stars and stripes a little...old-fashioned?
AGENT COULSON,"Everything that’s happening, the things that are about to come to light, people might just need a little old-fashioned."
THE OTHER,The Chitauri grow restless.
LOKI,Let them goad themselves. I will lead them in a glorious battle.
THE OTHER,Battle? Against the meager might of Earth.
LOKI,Glorious not lengthy- if your force is as formidable as you claim.
THE OTHER,"You question us? You question him? He who out the scepter in your hand, who gave you ancient knowledge and new purpose? When you were cast out- defeated! "
LOKI,"I was a king! The rightful king of Asgard, betrayed. "
THE OTHER,"Your ambition is little, full of childish need. We look beyond the Earth to greater worlds the Tesseract will unveil. "
LOKI,"You don’t have the Tesseract yet.  I don’t threaten. But until I open the doors, until your force is mine to command, you are but words. "
THE OTHER,"You will have your war, Asgardian. If you fail, if the Tesseract is kept from us, there will be no realm, no barren moon, no crevice, where he cannot find you. You think you know pain? He will make you long for something as sweet as pain."
AGENT COULSON,Agent Romanoff- Captain Rogers.
STEVE,Ma’am.
NATASHA,Hi. They need you on the bridge; they’re starting the face trace.
AGENT COULSON,See you there.
NATASHA,"It was quite the buzz around here, finding you in the ice. Thought Coulson was gonna swoon. Did he ask you to sign his Captain America trading cards yet? "
STEVE,Trading cards?
NATASHA,They’re vintage. He’s very proud.
STEVE,Doctor Banner.
BANNER,"Oh, yeah, hi. They told me you’d be coming. "
STEVE,Word is you can find the Cube.
BANNER,Is that the only word on me?
STEVE,Only word I care about.
BANNER,"Must be strange for you, all of this. "
STEVE,"Well, this is actually kind of familiar. "
NATASHA,"Gentlemen, you might wanna step inside in a minute. It’s gonna get a little had to breathe. "
HELICARRIER INTERCOM,Flight Mode. Secure the deck.
STEVE,Is this a submarine?
BANNER,"Really, they want me in a submerged pressurized metal container?  Oh no, this is much worse."
CARRIER BRIDGE TECH 1,"Maximum performance take off, increase output to capacity. "
FEMALE CARRIER BRIDGE TECH,Power plant performing at capacity. We are clear.
MARIA HILL,"All engines operating. SHIELD emergency protocol one nine three point six in effect. We’re at level, sir. "
FURY,Good! Let’s vanish.
MARIA HILL,Engage retro reflection panels.
MALE AGENT,Reflection panels engaged.
FURY,"Gentlemen.  Doctor, thank you for coming."
BANNER,"Thanks for asking nicely. So, um, how long am I staying? "
FURY,"Once we get our hands on the Tesseract, you’re in the wind. "
BANNER,Well where are you with that?
AGENT COULSON,"We’re sweeping every wirelessly accessible camera on the planet. Cell phones... laptops, if it’s connected to a satellite, it’s eyes and ears for us. "
NATASHA,It’s still not gonna find them in time.
BANNER,You have to narrow your field. How many Spectrometers do you have access to?
FURY,How many are there?
BANNER,"Call every lab you know. Tell them to put the Spectrometers on the roof and calibrate them for Gamma rays. I’ll rough out a tracking algorithm, basic cluster recognition. At least we could rule out a few places. Do you have somewhere for me to work? "
FURY,"Agent Romanoff, would you show Doctor Banner to his laboratory, please?"
NATASHA,"You’re gonna love it, Doc. We got all the toys. "
BANNER,Really? Do you have the com-meter sixty-four?
NATASHA,I’m not sure-
BANNER,Oh you’re very young.
FURY,"Hill, did you tell the council that Barton had been compromised? "
MARIA HILL,Was that not procedure?
MARIA HILL,Did you tell them who exactly is on your response team?
FURY,Doesn’t appear that I have to.
SELVIG,Put it over there. Where did you find all these people?
BARTON,"SHIELD has no shortage of enemies, Doctor. This the stuff you need? "
SELVIG,"Yeah. Iridium. It’s found in meteorites, it forms anti-protons. It’s very hard to get hold of. "
BARTON,Especially if SHIELD knows you need it.
SELVIG,"Well, I didn’t know. Hey! This is wonderful. The Tesseract has shown me so much. It’s- it’s more than knowledge, it’s truth. "
LOKI,"I know. It, ah- it touches everyone differently. What did it show you Agent Barton? "
BARTON,My next target.
SELVIG,"Stick in the mud. He’s got no soul. No wonder you chose this, this tomb to work in. "
BARTON,"Well, the Radisson doesn’t have three levels of lead lined flooring between SHIELD and that Cube."
LOKI,I see why Fury chose you to guard it.
BARTON,"You’re going to have to contend with him sir. As long as he’s in the air, I can’t pin him down. And he’ll be putting together a team. "
LOKI,Are they a threat?
BARTON,"To each other more than likely. But if Fury can get ’em on track, and he might, they could throw some noise our way. "
LOKI,You admire Fury.
BARTON,He’s got a clear line of sight.
LOKI,Is that why you failed to kill him?
BARTON,"It might be. I was disoriented, and I’m not at my best with a gun. "
LOKI,"I want to know everything you can tell me about this team of his. I would- test their mettle. I am weary of scuttling in shadow. I mean to rule this world, not burrow in it. "
BARTON,That’s a risk
LOKI,Oh yes.
BARTON,If you’re set on making yourself known. I could be useful.
LOKI,Tell me what you need.
BARTON,I need a distraction. And an eyeball.
AGENT COULSON,"I mean, if it’s not too much trouble. "
STEVE,"No-no, it’s fine. "
AGENT COULSON,"It’s a vintage set. Took me a couple of years to collect them all. Near mint, slight foxing around the edges but- "
AGENT JASPER SITWELL,"We got a hit. Sixty seven percent match. Wait- cross-match, seventy nine percent. "
AGENT COULSON,Location?
AGENT JASPER SITWELL,"Stuttgart, Germany. Twenty eight, Königstraße. He’s not exactly hiding. "
FURY,"Captain, you’re up."
LOKI,"Kneel before me. I said- KNEEL!  Is not this simpler? Is this not your natural state? It’s the unspoken truth of humanity, that you crave subjugation. The bright lure of freedom diminishes your life’s joy in a mad scramble for power, for identity. You were made- to be ruled. In the end- you will always kneel."
GERMAN OLD MAN,Not to men like you.
LOKI,There are no men like me.
GERMAN OLD MAN,There are always men like you.
LOKI,"Look to your elder, people. Let him be an example."
CAPTAIN AMERICA,"You know, the last time I was in Germany and saw a man standing above everybody else, we ended up disagreeing. "
LOKI,The soldier- the man out of time.
CAPTAIN AMERICA,I’m not the one who’s out of time.
NATASHA,"Loki, drop the weapon and stand down."
LOKI,Kneel!
CAPTAIN AMERICA,Not today.
NATASHA,Guy’s all over the place.
TONY,"Agent Romanoff, you miss me?"
IRON MAN,Make a move reindeer games. Good move.
CAPTAIN AMERICA,Mister Stark.
IRON MAN,Captain.
FURY,He saying anything?
NATASHA,Not a word.
FURY,"Just get him here, we’re low on time. "
STEVE,I don’t like it.
TONY,What? Rock of Ages giving up so easily?
STEVE,I don’t remember it being that easy. This guy packs a wallop.
TONY,"Still, you were pretty spry, for an older fellow. What’s your thing? Pilates? "
STEVE,What?
TONY,"It’s like calisthenics. You might have missed a couple of things. Y’know, doing time as a Cap-sicle. "
STEVE,Fury didn’t tell me he was calling you in.
TONY,"Yeah, there’s a lot of things Fury doesn’t tell you."
NATASHA,Where’s this come from?
STEVE,What’s the matter? Scared of a little lightening?
LOKI,I’m not overly fond of what follows. 
CAPTAIN AMERICA,What are you doing?
IRON MAN,Now there’s that guy.
NATASHA,Another Asgardian?
CAPTAIN AMERICA,That guy’s a friendly.
NATASHA,"Doesn’t matter. If he frees Loki, or kills him, the Tesseract’s lost."
CAPTAIN AMERICA,"Stark, we need a plan of attack. "
IRON MAN,I have a plan. Attack!
NATASHA,"I’d sit this one out, Cap. "
CAPTAIN AMERICA,I don’t see how I can.
NATASHA,"These guys come from legend, they’re basically Gods. "
CAPTAIN AMERICA,"There’s only one God ma’am, and I’m pretty sure he doesn’t dress like that."
THOR,Where is the Tesseract?
LOKI,"Oh-ho, I missed you too. "
THOR,Do I look to be in a gaming mood?
LOKI,"Oh, you should thank me. With the Bifrost gone, how many dark energy did the All-Father have to muster to conjure you here? Your precious Earth."
THOR,I thought you dead.
LOKI,Did you mourn?
THOR,We all did. Our father-
LOKI,"Your father. He did tell you my true parentage, did he not? "
THOR,"We were raised together, we played together, we fought together. Do you remember none of that? "
LOKI,"I remember a shadow, living in the shade of your greatness. I remember you tossing me into an abyss. I who was and should be king! "
THOR,"So you take the world I love as recompense for your imagined slights? No. The Earth is under my protection, Loki. "
LOKI,Well yes.
THOR,"Then you miss the truth of ruling, brother. Throne would suit you ill."
LOKI,"I’ve seen worlds you’ve never known about. I have grown, Odinson, in my exile. I have seen the true power of the Tesseract, and when I wield it- "
THOR,Who showed you this power? Who controls the would-be-king?
LOKI,I am a king!
THOR,Not here. You give up the Tesseract; you give up this poisonous dream! You come home.
LOKI,I don’t have it.  You need the Cube to bring me home but I’ve sent it off I know not where.
THOR,You listen well brother-
LOKI,I’m listening?
THOR,Do not touch me again.
TONY,Then don’t take my stuff.
THOR,You have no idea what you’re dealing with.
TONY,Uh- Shakespeare in the park? Doth mother know you wear-th her drapes?
THOR,"This is beyond you, metal man. Loki will face Asgardian justice. "
TONY,"He gives up the Cube, he’s all yours."
IRON MAN,-stay out of the way. Tourist.
TONY,Okay! 
JARVIS,Power at four hundred percent capacity.
TONY,How bout that?
CAPTAIN AMERICA,Hey!
CAPTAIN AMERICA,That’s enough!  Now I don’t know what you plan on doing here-
THOR,I’ve come here to put an end to Loki’s schemes!
CAPTAIN AMERICA,Then prove it. Put that hammer down.
IRON MAN,"Uh, yeah! No! Bad call, he loves his hammer- "
THOR,You want me to put hammer down?
CAPTAIN AMERICA,Are we done here?
FURY,"In case it’s unclear, you try to escape- you so much as scratch that glass- Thirty thousand feet straight down in a steel trap. You get how that works? Ant. Boot. "
LOKI,"It’s an impressive cage. Not built, I think, for me. "
FURY,Built for something a lot stronger than you.
LOKI,"Oh I’ve heard. A mindless beast- makes play he’s still a man... How desperate are you, that you call on such lost creatures to defend you? "
FURY,"How desperate am I?... You threaten my world with war, you steal a force you can’t hope to control, you talk about peace and you kill ’cause it’s fun. You have made me very desperate. You might not be glad that you did. "
LOKI,"Ooh. It burns you to have come so close, to have the Tesseract, to have power- unlimited power, and for what? A... warm light for all mankind to share? And then to be reminded what real power is."
FURY,"Well, let me know if ’real power’ wants a magazine or something. "
BANNER,He really grows on you doesn’t he?
STEVE,"Loki’s gonna drag this out. So, Thor, what’s his play? "
THOR,"He has an army called the Chitauri. They’re not of Asgard nor any world known. He means to lead the against your people. They will win him the Earth, in return, I suspect, for the Tesseract. "
STEVE,"An army, from outer space? "
BANNER,"So, he’s building another portal. That’s what he needs Erik Selvig for. "
THOR,Selvig?
BANNER,He’s an astrophysicist.
THOR,He’s a friend.
NATASHA,Loki has them under some kind of spell- along with one of ours.
STEVE,I wanna know why Loki let us take him. He’s not leading an army from here.
BANNER,"I don’t think we should be focusing on Loki. That guy’s brain is a bag full of cats, you can small crazy on him. "
THOR,"Have care how you speak. Loki is beyond reason but he is of Asgard, and he is my brother. "
NATASHA,He killed eighty people in two days.
THOR,He’s adopted?
BANNER,"I think it’s about the mechanics. Iridium, what do they need the Iridium for?"
TONY,"It’s a stabilizing agent. I’m saying, take a weekend; I’ll fly you to Portland. Keep love alive. Means the portal won’t collapse on itself like it did at SHIELD. No hard feelings point break, you got a mean swing."
TONY,"Also, means the portal can open as wide and stay open as long as Loki wants. Ah, raise the mizzen mast, ship the topsails. That man is playing Galaga! Thought we wouldn’t notice, but we did. How does Fury even see these? "
MARIA HILL,He turns!
TONY,"Sounds exhausting! The rest of the raw materials, Agent Barton can get his hands on pretty easily. Only major component he still needs is a power source- of high energy density. Something to- kick start the Cube. "
MARIA HILL,When did you become an expert in thermonuclear astrophysics?
TONY,"Last night. The packet, Selvig’s notes, the extraction theory papers- am I the only one who did the reading? "
STEVE,Does Loki need any particular kind of power source?
BANNER,He’s have to heat the Cube to a hundred and twenty million kelvin just to break through the Coulomb barrier.
TONY,"Unless, Selvig has figured out how to stabilize the Quantum Tunneling effect. "
BANNER,"Well, if he could do that he could achieve heavy-ion fusion at any reactor on the planet. "
TONY,Finally. Someone who speaks English.
STEVE,Is that what just happened?
TONY,"It’s good to meet you, Doctor Banner. Your work on anti-electronic collisions is unparalleled. And I’m a huge fan of the way you- lose control and turn into an enormous green rage monster. "
BANNER,...Thanks.
FURY,Doctor Banner is only here to track the Cube. I was hoping you might join him.
STEVE,I’d start with that stick of his. It may be magical but it works an awful lot like a HYDRA weapon.
FURY,"I don’t know about that, but it is powered by the Cube. And I like to know how Loki used it to turn two of the sharpest men I know into his personal flying monkeys. "
THOR,Monkeys? I do not understand-
STEVE,I do!
STEVE,I...I understood that reference.
TONY,"Shall we play, Doctor? "
BANNER,"This way, sir."
BANNER,The Gamma readings are definitely consistent with Selvig’s reports on the Tesseract. But it’s gonna take weeks to process.
TONY,If we bypass their mainframe and direct route to the Homer cluster we can clock this at around six hundred teraflops.
BANNER,All I packed was a toothbrush.
TONY,"You know, you should come by Stark Tower some time. Top ten floors- all R and D. You’d love it, it’s a candy land. "
BANNER,Thanks but...last time I was in New York I kind of broke...Harlem.
TONY,"Well, I promise a stress free environment. No tension, no surprises. He zaps Banner in the side. "
BANNER,Ow!
STEVE,Hey!
TONY,Nothing?
STEVE,Are you nuts?
TONY,"Jury’s out! You really have got a lid on it, haven’t you? What’s your secret? Mellow jazz, bongo drums, huge bag of weed? "
STEVE,Is everything a joke to you?
TONY,Funny things are.
STEVE,"Threatening the safety of everyone on this ship isn’t funny. No offense, Doc. "
BANNER,No it’s alright. I wouldn’t have come aboard if I couldn’t handle pointy things.
TONY,"You’re tip-toeing, big man. You need to strut. "
STEVE,"And you need to focus on the problem, Mister Stark. "
TONY,"You think I’m not? Why did Fury call us in? Why now, why not before? What isn’t he telling us? I can’t do the equation unless I have all the variables. "
STEVE,You think Fury’s hiding something?
TONY,"He’s a spy. Captain, he’s the spy. His secrets have secrets. It’s bugging him to, isn’t it? "
BANNER,"Uh, Aah, I just wanna finish my work here and- "
STEVE,Doctor?
BANNER,"A warm light for all mankind,"" Loki’s jab at Fury about the Cube. "
STEVE,I heard it.
BANNER,"Well, I think that was meant for you.  Even if Barton didn’t tell Loki about the tower, it was still all over the news. "
STEVE,The Stark Tower? That big ugly building in New York?
BANNER,"It’s powered by an arc reactor, self-sustaining energy source. That building will run itself for, what, a year? "
TONY,"It’s just the prototype. I’m kind of the only name in clean energy right now, that’s what he’s getting at. "
BANNER,"So, why didn’t SHIELD bring him in on the Tesseract project? What are they even doing in the energy business in the first place? "
TONY,I should probably look into that as soon as my decryption program finishes breaking into all of SHIELD’s secure files.
STEVE,I’m sorry did you say-
TONY,JARVIS has been running it since I hit the bridge. In a few hours I’ll know every dirty secret SHIELD has ever tried to hide. Blueberry?
