character,line
YOUNG T'CHAKA,You look strong.
N'JOBU,Glory to Bast. I am in good health. How is home? Young T'Chaka's mood darkens.
YOUNG T'CHAKA,"Not so good, baby brother. There has been an attack. Then, Young T'Chaka activates a simple looking beaded bracelet, KIMOYO BEADS, that project a hologram image of"
YOUNG T'CHAKA,"This man, Ulysses Klaue, stole a quarter ton of vibraniurn from us and triggered a bomb at the border to escape. Many lives were lost. He knew where we hid the vibranium, and how to strike. N'Jobu takes the news in."
YOUNG T'CHAKA,He had someone on the inside. Young T'Chaka waits for N' Jobu to come clean of the crime. He doesn't.
N'JOBU,Why are you here?
YOUNG T'CHAKA,Because I want you look me in the eyes and tell me why you betrayed Wakanda.
N' JOBU,I did no such thing. Young T'Chaka snaps a look to James.
YOUNG T' CHAKA,Tell him who you are.
JAMES,"Zuri, Son of Badu."
N'JOBU,"What? N'Jobu's face goes ashen as James is revealed to be YOUNG ZURI, a Wakandan spy. Zuri reveals his vibranium lip tattoo. N'Jobu grabs him."
N'JOBU,"James, James you lied to me? I invite you into my home and you were Wakandan this whole time?"
JAMES,You betrayed Wakanda!
N'JOBU,How could you lie to me like -
YOUNG T'CHAKA,"Stand down. Did you think that you were the only spy we sent here? Zuri walks to the wall and removes a duffle bag containing VIBRANIUM CANISTERS, glowing blue. He shows one to Young T'Chaka."
YOUNG T'CHAKA,"Prince N'Jobu, you will return home at once, where you will face the council and inform them of your crimes. A kid catches the basketball, gazing up as an AIRCRAFT WITH STRANGE LIGHTS rises into the sky and speeds off. The ball drops. T'Challa, dressed in his Black Panther armor, sits at the console in the back of the ROYAL TALON FIGHTER. A BBC news report plays on the screen."
BBC ANCHOR,"The tiny nation of Wakanda is mourning the death of its monarch, King T'Chaka. The beloved ruler was one of many confirmed dead after a terrorist attack at the United Nations a week ago. The Suspect has since been apprehended."
BBC ANCHOR,"Though it remains one of the poorest countries in the world, fortified by mountain ranges and an impenetrable rain forest, Wakanda does not engage in international trade or accept aid. The succession of the throne is expected to fall to the oldest of the King's two children, Prince T'Challa. Piloting the craft while seated in lotus position is OKOYE"
OKOYE,"My Prince, coming up on them now. An overhead view of a SIX CAR MILITARY CONVOY, moving like a sinister serpent through the surrounding wilderness. We pull back into the sky revealing the tip of a futuristic looking aircraft. This is the ROYAL TALON FIGHTER . T'Challa stands, and moves to a sand model of the convoy down below. Okoye gets up out of her chair and grabs her SPEAR off the wall. She moves towards the back of the craft."
T'CHALLA,"No need, Okoye. I can handle this alone. Okoye pauses, then returns her spear to the wall. T'Challa closes the model and steps to a marked circle in the floor."
T'CHALLA,I will get Nakia out as quickly as possible. Okoye places six KIMOYO BEADS into T'Challa's gloved hands.
OKOYE,Just don't freeze when you see her.
T'CHALLA,"What are you talking about? I never freeze. T'Challa slips on his helmet, revealing himself to be Black Panther and folds his arms over his chest. Okoye opens her closed fist, dropping Panther out of the aircraft. Panther hurdles through the clouds and throws the spheres toward the cars below. The spheres CHANGE SHAPE into edged discs that we follow through the air as they zip toward.... The discs mount themselves to hoods of ALL THE VEHICLES, sending a sonic ripple through them, stopping the convoy in its tracks. The MILITANT LEADER riding shotgun watches as The DRIVER looks around, confused. He tries turning the key to start the truck up again -- nothing. The Militant Leader grabs his AK-47 and climbs out to the front of the truck, he spots the disk mounted to it, and tries pulling it off to no avail. He raises his fist."
MILITANT LEADER,"Defense position! The militant leader slips down a Night Vision as the other MILITANTS echo the call and begin to fall in line. Packed closely together, SEVERAL NIGERIAN WOMEN dressed in hijab sit, waiting. A CARGO TRUCK MILITANT sits amongst the women, RIFLE in hand, next to a YOUNG MILITANT, a child soldier no older than twelve. We find a WOMAN sitting in the back corner, her eyes observing the militants intensely. This is NAKIA . The CARGO TRUCK MILITANT stands up and cocks his rifle."
CARGO TRUCK MILITANT,"No games. He and the Young Militant exit the vehicle as Nakia watches closely. The pickup's driver climbs out, cocking a submachine gun and looks into the forest in the wrong direction. Slowly approaching, the militant leader points to SHIFTING FOLIAGE in the direction of Panther. The militants nod and the militant leader covers them while they go off into the grass. The militants move slowly following every sound. They point their guns at the base of a TREE, but it ' s just a stray The gunmen approach the tree, eyeing around, then look up to find PANTHER stalking his prey from the tree tops."
MILITANT LEADER,What do you see? Nakia climbs out of the truck while the other captive women look on.
MILITANT LEADER,"Come in! Come in! We hear a faint struggle, then a MILITANT'S BODY is hurled into the side of the pickup truck as the other militants look on in horror! The. SO CAL GUNNER and all of the other men in the convoy BLINDLY OPEN FIRE into the trees. Then PANTHER emerges from behind them, flipping into the truck bed and SLASHING clean through the base of the then taking the gunner out with a single blow. Slipping behind a MILITANT, Nakia picks up the man's and quickly disassembles it as another MILITANT approaches and using the BARREL like a combat stick, puts him on his back, out cold. She leaps onto a second militant, easily taking him down and striking him in the throat. The four men don't see Panther coming and executing a BARRAGE OF PUNCHES AND KICKS, Panther viciously dispatches them. He spots the Young Militant firing at him then SLASHES through a car door, and THROWS THE DOOR at a Militant behind him- taking him out. In a moment of desperation, the Young Militant rushes out, firing at Panther to no effect. Then, as Panther walks towards him, Nakia dives out, kicking the young militant's gun from his hand and grabs him in a neck-lock. Swinging around, Nakia kicks Panther in the chest, stopping his momentum. Caught off guard, Panther freezes."
NAKIA,"This one is just a boy... he got kidnapped as well. Nakia pulls the wrap from the young militant's face, exposing his pre-teen expression. She removes her own hijab as well. Panther stares at her- for a beat too long..."
T'CHALLA,Nakia... I... I wanted to...
NIGERIAN MILITANT #2,Hey! 1! Panther and Nakia turn to find NIGERIAN MILITANT #2 holding a CAPTIVE WOMAN at gunpoint.
NIGERIAN MILITANT #2,"I have her! Don't move, I will shoot! I will shoot her right now! Behind the militant, an UNSEEN FIGURE creeps out of the bush. The figure stands, revealing herself to be OKOYE. The militant ' s rifle is SUDDENLY CUT IN HALF by Okoye who finishes him with another swipe of her spear."
OKOYE,"You froze. T'Challa removes his helmet, facing Nakia."
NAKIA,"Why are you here? Eesh, you ruined my mission!"
T'CHALLA,"My father is dead, Nakia. The news devastates her."
T'CHALLA,"I will be cro wned King tomorrow, and I wish for you to be there. Nakia looks at T'Challa deeply. Then turns, catching eyes with one of the NIGERIAN CAPTIVES as Okoye brings them from aro und the truck."
NAKIA,"Carry yourselves home now, and take the boy. Get him to his people. The Nigerian Woman nods."
NIGERIAN WOMAN,Thank you.
OKOYE,"You will speak nothing of this day. T'Challa loo ks at the Young Militant for a beat before he, Nakia and Okoye disappear through the trees. The Nigerian Women and the Young Militant look up at the sky as the RTF takes off. The RTF comes out of stealth mode and becomes visible as it glides over a mountain range. T'Challa and Nakia sit close, silently. Nakia reaches out and touches his hand. He looks at her and smiles."
OKOYE,"Sister Nakia... My Prince. We are home. Nakia approaches the front of the craft with T' Challa. They loo k out. Several BORDER TRIBE SHEPHERDS look over their flocks of sheep and cattle. As the RTF's shadow passes over the SEVERAL CHILDREN run out into the pastures, smiling and waving at the Prince. TWO BORDER TRIBE KIDS  on horseback overtake them. Their horses hurdle ahead at a breakneck pace. The horse riders pump their fists in the air as the RTF soars over a second mountain range."
T'CHALLA,"This never gets old. Nakia, T'Challa and Okoye regard a BEAUTIFUL RAINFOREST that expands for as far as the eye can see. Okoye dives the pl ane seemingly right into THE TREES... when at the last moment it passes through, revealing the forest is a massive hologram and below... A sprawling metropolis with elaborate veins of public transportation running through it at ground level and high arching skyscrapers. The RTF heads for the ROYAL PALACE, a magnificent building at the center of the city and touches down on the landing pad. RAMONDA, and SHURI  stand on the pad flanked by AYO. Okoye, Nakia and T'Challa exit the RTF and Nakia bows her head."
NAKIA,Queen Mother... Princess. My comfort for your loss.
RAMONDA,"Thank you, Nakia. It is so good to have you back with us. Nakia nods."
OKOYE,Take her to the River Province to prepare her for the ceremony.
AYO,"Yes, general. Ayo nods and walks off with Nakia while Shuri watches closely."
SHURI,Did he freeze?
OKOYE,Like an antelope in headlights. Shuri laughs at this.
T' CHALLA,"Are you finished? Okoye slams her spear into the ground, signaling the rest of the Dora to follow her off. T'Challa turns to Shuri."
T'CHALLA,So surprised my little sister came to see me off before our big day.
SHURI,"You wish. I'm here for the EMP beads, I've developed an update."
T'CHALLA,"Update? No, it worked perfectly."
SHURI,"How many times to I have to teach you, just because something works, doesn't mean that it cannot be improved."
T' CHALLA,"You are teaching me, what do you know? Shuri holds out her hand and T'Challa drops the beads into her hand. Shuri heads off."
T'CHALLA,I cannot wait to see what kind of update you make to your ceremonial outfit. Shuri flips him off.
RAMONDA,Shuri! T'Challa smiles at this.
SHURI,Sorry mother. Ramonda turns to T'Challa.
T'CHALLA,"How are you feeling today, mama?"
RAMONDA,"Proud... your father and I would talk about this day all the time. He is with us, and it is your time to be King. Museum employees congregate outside as tourists and school groups move toward the main entrance. We see a black man in high-end street wear, around 30 years old. A RING hangs on a gold chain around his neck. This is. Killmonger stands dangerously close to the glass containing SEVERAL WEST AFRICAN ARTIFACTS. They range from what looks like iron gardening tools to masks and short range weapons. Flanking the room are TWO SECURITY GUARDS, slight l y unnerved by his presence. We follow the MUSEUM DIRECTOR, a British woman as she enters and walks up behind Killmonger as he studies t he war masks."
MUSEUM DIRECTOR,Good morning! How can I help you?
KILLMONGER,I was just checking out these artifacts. They tell me you're the expert.
MUSEUM DIRECTOR,You could say that.
KILLMON,
GER,They're beautiful. Killmonger points at one of the masks.
KILLMONGER,Where's this one from?
MUSEUM DIRECTOR,"From the Bobo Ashanti Tribe, prese nt day Ghana. 19th Century."
KILLMON,
GER,For real? What about this one?
MUSEUM DIRECTOR,That one's from the Edo people of Benin. 16th Century.
KILLMONGER,"Now, tell me about this one. Killmonger points to a MINING TOOL off to the side."
MUSEUM DIRECTOR,Also from Benin. 7th Century. Fula tribe I believe.
KILLMONGER,Nah.
MUSEUM DIRECTOR,I beg your pardon?
KILLMONGER,"It was taken by British soldiers in Benin but it's from Wakanda and it's made out of vibranium. Don't trip, I'mma take it off your hands for you. She looks at Killmonger like he's crazy."
MUSEUM DIRECTOR,These items aren't for sale.
KILLMONGER,How do you think your ancestors got these? You think they paid a fair price? Or did they take it like they took everything else.
MUSEUM DIRECTOR,"Sir, I'm going to have to ask you to leave. The Museum Director subtly looks back at the security guards, then makes a face and touches her stomach -- indigestion. Killmonger smiles and leans over, whispering in her ear."
KILLMONGER,"You got all this security watching me ever since I walked in. But, you ain't checking for what you put in your body. The museum director looks at Killmonger in terror as a security guard walks up behind him."
SECURITY GUARD,"Alright, mate. Let's have it. Come on, mate."
KILLMON,
GER,"I think she might not be feelin' too good. The Museum Director suddenly slumps to the floor, clutching her stomach."
KILLMONGER,"Hey! Hey somebody get some help! Come here! Call a doctor, please! Hey please, somebody come help! The security guards quickly rush to the museum director's aid."
SECURITY GUARD,"Medical Emergency right away in the West African Exhibit please. Right away! Killmonger stands back and looks toward the door. LINDA, A young black barista, looks on as TWO EMTs push a STRETCHER through the entrance. They head towards the West African Exhibit."
LINDA,"I'm gonna take a break. Preoccupied with the commotion, her co-worker nods and Linda walks out. The EMTs rush in, revealing the face of the lead paramedic... IT'S ULYSSES KLAUE  Another EMT, LIMBANI, mans the door."
KLAUE,Let's give the lady some space please.
LIMBANI,"Step back please, gents, step back please. Museum-goers quickly bee l ine for the exit as Klaue approaches the guards. Uneasy, the security guards follow Klaue's instructions only to have KLAUE AND LIMBANI draw silenced pistols and rapidly shoot two of the three dead. Klaue looks at the one remaining."
KLAUE,"Hey come here. Come here! It ' s ok. You can go, but just don't tell anyone, alright? The SECURITY GUARD looks back at him unsure, then takes off. Klaue then aims and shoots the Security Guard in the back. Killmonger looks on at him confused."
KILLMONGER,"Bro, why you 'aint just shoot him right here?"
KLAUE,"Because it's better to leave the crime scene more spread out... makes us look like amateurs. The LENS on a surveillance camera at the corner of the room looks on. MONITORS with feeds from the West African Exhibit show a looped video of patrons enjoying the displays as... Just outside the entrance, Linda exits, wearing plain clothes. She eyes her cellphone SCREEN where th e same video plays. The sour ce of the loop. Klaue looks down at the slumped bodies of the guards. Turns to Killmonger."
KLAUE,Now... let's see if you know what you're talking about... Klaue removes his glove to reveal a BIONIC PROSTHETIC hand. Klaue walks up to the PROTECTIVE GLASS surrounding a smaller case containing the mining tool and places his hand on it. An invisible charge SHATTERS the glass.
KLAUE,"That's just a taste. Klaue picks up the MINING HAMMER, studying it. The tool doesn't look like anything special. Klaue ' s hand SIZZLES BLUE and centuries of MUCK and GRUNGE drop off the hammer revealing that it's pure vibraniurn. Klaue smells it, and smiles."
KLAUE,"Whoo… You 'r e gonna be rich, boy."
KILLMON,
GER,You better sel l that quick.
KLAUE,"Oh it's already sold. Klaue waves Lirnbani over with the stretcher to load the hammer inside. He BREAKS the WOODEN HANDLE off the tool, taking only the vibranium head."
KILLMONGER,"Whatever you try, the Wakandans ' ll probably show up."
KLAUE,"That ' ll make my day. I can kill two birds with one stone. Lirnbani approaches Killmonger who eyes a third MASK, expertly crafted and slightly haunting. He slides th e mask inside the stretcher also."
KLAUE,"You're not tel l ing me that's vibranium too, eh?"
KILLMONGER,"Nah, I'm just feeling it. Killmonger lays atop the gurney and Limbani places an oxygen mask over his face. The fake EMT's wheel the stretcher out of the exhibit toward the entrance. Klaue and Limbani load the gurney onto an AMBULANCE and climb in. Killmonger moves towards the front of the truck and gives Linda a kiss before she hits the SIREN and speeds off. Several incredible BARGES transport congregations from FOUR"
WAKANDAN,"TRI BES, ELDERS and their TRIBAL WARRIORS in traditional garb, others in modern Wakandan attire, the DORA MILAJE and KINGSGUARD wi th spears and shields down river. Okoye stands wi th her second in command, AYO, flanked by a legion of Kingsguard and Dora. Ramonda and Shuri dance. Nakia dances among her tribal leaders. The Dora slam their spears in unison, sonically triggering the massive drains at the top of the waterfall and we PULL BACK to reveal natural seating built into the rocks below. THE ROYAL TALON FIGHTER flies up to the pool's edge and T'CHALLA steps off the aircraft, holding a short spear and shield and covered in leopard body paint. The crowd chants."
"ELDERS, WARRIORS, DORA",Ngu T'Challa Lo.
CROWD,"Ngu T'Challa Lo. T'Challa bows at Zuri's feet as the RTF lifts away. Thousands of Wakandans stand according to tribe, overlooking a challenge pool : the Border Tribe, the Mining Tribe, the Merchant Tribe and the River Tribe. set up near the challenge pool. Ramonda stands at the edge of the pool with Shuri. Nakia is with the River Tribe, W'KABI  with the Border Tribe and Okoye with Ayo and the Dora Milaje. In the water, ZURI , holding the massive SPEAR OF BASHENGA, addresses the arena."
ZURI,"I, Zuri, Son of Badu, give to you, Prince T'Challa, the Black Panther! The Elders watch as Zuri holds up A CEREMONIAL VESSEL containing a mysterious concoction."
ZURI,"The Prince will now have the strength of the Black Panther stripped away. Zuri pours the solution into T'Challa's mouth. T'Challa reacts violently, choking on the red fluid. T'Challa spasms, his veins expanding and his muscles contracting as the poison spreads through him. But soon, he stops shaking and exhales easy. Zuri turns to the audience."
ZURI,Damaku...
CROWD,Damaku...
ZURI,"Victory in ritual combat comes by yield or death. If any tribe wishes to put forth a warrior, I now offer a path to the throne. The Merchant Tribe Warrior calls out."
MERCHANT,
TRIBE ELDER,"The Merchant Tribe will NOT challenge today. W'KABI, the head of the Border Tribe calls out."
BORDER TRIBE ELDER,"The Border tribe will NOT challenge today. Nakia calls out, representing the River Tribe."
RIVER TRIBE ELDER,The River Tribe will NOT challenge today. The Mining Tribe Warrior calls out.
MINING TRIBE ELDER,The Mining Tribe will NOT challenge today.
ZURI,"Is there any member of royal blood who wishes to challenge for the throne? As she raises her hand, and a collective gasp is heard amongst the entire gathering."
SHURI,"This corset is really uncomfortable. So could we all just wrap it up and go home? Ramonda pinches her, as the ELDERS groan, and the YOUNG can be heard laughing. T'Challa smiles and shakes his head. The sound of WOODEN DRUMS and loud chanting suddenly interrupts. Everyone looks to the mouth of the main CAVE where SIX JABARI WARRIORS and TWO JABARI DRUMMERS file out. Adorned in elaborate wooden armor, the warriors hold large wooden spears that look like javelins. The Kingsguard coil tightly as stunning the CROWD, the Jabari's imposing leader, M'BAKU, emerges last. Where W'Kabi and Nakia unsheathe their weapons and Okoye readies the Dora Milaje. Shuri turns to her mother."
SHURI,Are they Jabari?
RAMONDA,Yes. Zuri confronts M'Baku.
ZURI,M'Baku. What are you doing here?!
M'BAKU,It's challenge day.
M'BAKU,"We have watched and listened from the mountains. We have watched with disgust, as your technological advancements have been overseen by a child who scoffs at tradition. M'Baku points his spear at Shuri, who's eyes grow large steps in front of her."
M'BAKU,"And now... you want to hand the nation over to this prince...  Who could not even keep his own father safe. Hmm? We will not have it. I said we will not have it!  I, M'Baku, leader of the Jabari wish to"
T'CHALLA,"I accept your challenge, M'Baku."
M'BAKU,"Glory to Hanuman. Zuri puts the Panther mask on T'Challa. M'Baku grins and places a WOODEN GORILLA MASK over his face. He clenches his fist and calls out for his Jabari soldiers to form a semicircle behind him, pointing their spears at his back. T'Challa lifts his hand and calls out for the Dora, who fall into place behind him, making a perfect surrounding the fighters. Zuri raises his hand, ill-at-ease."
ZURI,"Let the challenge begin! The warriors CLASH, both with great skill. M'Baku with superior strength. T'Challa eludes a salvo of swings, then is driven back by the tip of M'Baku's spear against his shield. Knocking M'Baku's spear free, T'Challa is HAMMERED BACK but instantly springs up to dodge more attacks and counter with M'Baku spits blood and bangs his chest. The rest of the Jabari warriors RESPOND. T'Challa salutes the crowd and they respond M'Baku charges at T'Challa, knuckle-walking, and slipping his assault, T'Challa grabs M'Baku's spear and cartwheels over it to land another The two continue to battle, BLOCKING and TRADING BLUNT STRIKES, until M'Baku delivers a backhand that T'CHALLA OFF HIS FEET near the Dora's spears. With the deadly spears at his back, T'Challa blocks OVERHEAD BLOWS with his shield, then M' Baku leans with all his strength trying to impale T'Challa on the TIPS. Clubbing M'Baku to his heels, T'Challa rushes forward for an aerial attack only to be met by a VICIOUS KICK to the chest, causing him to LOSE both his shield and spear!"
M'BAKU,"Where is your God, now?! Defenseless, T'Challa DODGES SPEAR-SWIPES before M'Baku corrals him into a BEAR HUG and delivers a CRUSHING HEADBUTT. M'Baku LAUGHS through his mask."
M'BAKU,"No powers. No claws. No specia l suit, oh! Just a boy, not fit to lead. From T'Challa's POV we see Ramonda cheering from the sidelines."
RAMONDA,"Show him who you are! T'Challa finds strength in RAMONDA'S VOICE. He shakes off the headbutt, stunning M'Baku with a SAVAGE ELBOW to free himself. M' Baku retaliates, GORING T'Challa's shoulder."
T'CHALLA,I AM PRINCE T'CHALLA SON OF King T'CHAKA! l
SHURI,"You can do this T'Challa! T'Challa wedges M'Baku ' s spear UNDER HIS FOOT and PULLS M'Baku to the pool, FLIPPING his body into a SERIES OF LEG M'Baku FIGHTS, but can't escape."
T'CHALLA,Yield! Don't make me kill you.
M'BAKU,I would rather die! T'Challa TIGHTENS HIS GRIP and M'Baku begins to fade.
T'CHALLA,What would the proud Jabari do without you? T'Challa tightens further.
T'CHALLA,"You have fought with honor, now yield! Your people need you. M'Baku looks up at the Jabari warriors."
T'CHALLA,"Yield, man! M' Baku grudgingly reaches out and TAPS. T'Cha l la lets him go and is barely ab l e to stand hi mself as Zuri steps forward. The crowd ERUPTS as struggling to catch his breath, T'Challa proud l y lifts his ar m."
ZURI,"I now present to you, King T'Challa the Black Panther!!"
T'CHALLA,Zuri.
ZURI,My King. Drums begin to play and people start to dance. T'Challa and Nakia stare into each other's eyes amidst the celebration as…
T'CHALLA,"Wakanda forever!! The arena ECHOES THE PHRASE emphatically. We move in on the Hal l of Kings. zuri, wearing ceremonial face paint, mixes a Heart Shaped Herb concoction and pours it into T'Challa's mouth as he lies in a dirt plot in the middle of the room."
ZURI,Allow the Heart Shaped Herb to restore the powers of the Black Panther and take you to the Ancestral Plane. T'Challa closes his eyes.
ZURI,"T'Chaka, we call on you. Corne here to your son. We see YOUNG T'CHALLA and YOUNG T'CHAKA smiling at each other. We see images of T'Challa and T'Chaka from CA:CW. Father puts a hand to his son ' s face lovingly. T'Challa, eyes closed, struggles with the memories as he slips into the Ancestral Plane."
ZURI,"Darnaku. The children begin burying T'Challa in the red sand. The explosion from CA:CW kills T'Chaka, and we see T'Challa crawling towards him, then cradling him in his arms. T'Challa puts on his father's ring. zuri is the last thing T'Challa sees as his face is buried. T'Challa comes out of the dirt. There are stars above. He's in a VAST GRASSLAND somewhere in Wakanda with wondrous acacia trees. It's surreal and beautiful. A massive ACACIA TREE stands in front of him. T'Challa sees several YELLOW EYES looking at him and realizes PANTHERS are resting on the branches of the tree. T'Challa approaches. large panther jumps down, then stands on two feet to reveal it's T'Challa lo oks at his father and immediately pulls him into a hug."
T'CHALLA,Baba!
T'CHAKA,"My son. T'Challa kneels down before his father, overcome with grief."
T'CHALLA,I am sorry.
T'CHAKA,"Stand up! You are a King. T'Challa rises, and they begin to walk."
T'CHAKA,What is wrong my son?
T'CHALLA,"I am not ready, Baba."
T'CHAKA,"Have you not prepared to be King your whole life? Have you not trained and studied, been by my side?"
T'CHALLA,That is not what I am talking about. I am not ready to be without you.
T'CHAKA,A man who has not prepared his children for his own death has failed as a father.  Have I ever failed you?
T'CHALLA,"Never.  Tell me how to best protect Wakanda. I want to be a great King, Baba. Just like you."
T'CHAKA,You're going to struggle. So you need to surround yourself with people you trust. You're a good man with a good heart. And it's hard for a good man to be King. T'Challa is aggressively pulled from the dirt by Zuri.
ZURI,"Breathe, T'Challa. Breathe! T'Challa breathes in deeply, coughing up dirt. His battle wounds have healed."
T'CHALLA,He was there! He was there. My father. A bustling futuristic metropolis. T' Challa and Nakia stroll side by side. FOUR DORA MILAJE shadow them from a distance.
T'CHALLA,"Corne home, Nakia."
NAKIA,I'm right here.
T'CHALLA,Stay.
NAKIA,"I came to support you, and to honor your father. But I can't stay. It's just...! found my calling out there. I've seen too many in need just to turn a blind eye. I can't be happy here knowing that there's people out there who have nothing. T'Challa thinks on this."
T'CHALLA,What would you have Wakanda do about it? Nakia thinks for a bit.
NAKIA,"Share what we have. We could provide aid and access to technology and refuge to those who need it... other countries do it, we do it better."
T' CHALLA,"We are not like these other countries, Nakia. If the world found out what we truly are, and what we possess -- we could lose our way of life."
NAKIA,Wakanda is strong enough to help others and protect ourselves at the same time. Nakia gives T'Challa a look.
T'CHALLA,If you were not so stubborn you would make such a great queen.
NAKIA,I would make a great queen because I am so stubborn.
T' CHALLA,Ah! So you admit it!
NAKIA,"… if that's what I wanted! We TRACK PAST several Border Tribesmen in a field, feeding and watering their pet HORSES and GOATS. Finally we come upon... W'Kabi feeding M20, his RHINO by hand. T'Challa stands beside him."
T'CHALLA,"Is that him? Glory to Bast, man, is he still growing? W'Kabi laughs."
W'KABI,Of course.
W'KABI,I see Nakia is back... you guys going to work it out? T'Challa shakes his head and crosses in front of W'Kabi.
W'KABI,"T'Challa, what's wrong?"
T'CHALLA,Nakia thinks we should be doing more.
W'KABI,More like what?
T'CHALLA,Foreign aid... refugee programs. W'Kabi shakes his head.
W'KABI,"You let refugees in, they bring their problems with them. And then Wakanda is like everywhere else. T'Challa thinks on this."
W'KABI,"Now, if you said you wanted me and my men to go out there and clean up the world, then I'd be all for it."
T'CHALLA,"But waging war on other countries has never been our way. Then, both of their Kimoyo beads buzz."
T' CHALLA,"You too, huh?"
W'KABI,"Bast, are we in trouble? Their beads combine to project a display of Okoye."
OKOYE,"My King. My love. You will never guess who just popped up on our radar. An ornate chamber overlooking the Golden City. At the top of a golden pyramid, T' Challa, W'Kabi, Ramonda and ELDERS from each tribe except the Jabari sit in a circle as Okoye briefs them. W'Kabi and Ramonda flank T'Challa's throne."
OKOYE,A misidentified Wakandan artifact was stolen yesterday from a British museum. We have learned Ulysses Klaue plans to sell the vibraniurn to an American buyer in South Korea tomorrow night. There are audible murmurs at the name of Ulysses Klaue.
T'CHALLA,Klaue has escaped our pursuits for almost 30 years. Not capturing him was perhaps my father's greatest regret. I wish to bring Klaue back here to stand trial.
MERCHANT,
TRIBE ELDER,Wakanda does not need a warrior right now. We need a King.
W'KABI,"My parents were killed when he attacked. Not a day goes by when I do not think about what Klaue took from us, from me."
OKOYE,It's too great an opportunity to pass.
W'KABI,"Take me with you. We'll take him down together side by side, eh?"
T'CHALLA,I need you here protecting the border.
W'KABI,"Then I ask, you kill him where he stands, or you bring him back to us."
T'CHALLA,"You have my word I will bring him back.  We will proceed with the mission. Ramonda looks on, irresolute. The Great Mound. Where a meteorite hit, creating a cliff-face on one side and a large hill on the other. A DRAGONFLYER lands outside the"
WAKANDAN,"T'Challa walks with four Dora, including Ayo. The Dora stop outside Shuri's Lab. As T'Challa pushes inside, Shuri approaches and bows her head."
SHURI,"My, King."
