,character,line,movie,year,words,Christopher Markus,Stephen McFeely,Joss Whedon,Eric Pearson,Craig Kyle,Christopher Yost,Mark Fergus,Hawk Ostby,Art Marcum,Matt Holloway,James Gunn
14,TONY STARK,Good sport.  Have fun?,Avengers: Endgame,2019.0,5,True,True,False,False,False,False,False,False,False,False,False
15,NEBULA,It was fun.,Avengers: Endgame,2019.0,3,True,True,False,False,False,False,False,False,False,False,False
16,TONY STARK,"This thing on?  Hey, Ms. Potts. Pep.  If you find this recording, don’t post it on social media. It’s going to be a real tearjerker.",Avengers: Endgame,2019.0,27,True,True,False,False,False,False,False,False,False,False,False
17,TONY STARK,"I don’t know if you’re ever going to see these.  I don’t even know if you’re still...God, I hope so. Today’s day twenty-one, no...twenty- two.",Avengers: Endgame,2019.0,26,True,True,False,False,False,False,False,False,False,False,False
18,TONY STARK,"You know, if it wasn’t for the existential terror of staring into the literal void of space, I’d say I’m feeling a little better today. Infection’s run its course, thanks to the Blue Meanie back there. You’d like her.  She’s very practical.  And only a tiny bit sadistic. ",Avengers: Endgame,2019.0,51,True,True,False,False,False,False,False,False,False,False,False
19,TONY STARK,"The fuel cells were cracked during battle, but we figured out a way to reverse the ion charge.  Bought ourselves about 48 hours of flight time.  Problem is that was about...49 hours ago. ",Avengers: Endgame,2019.0,36,True,True,False,False,False,False,False,False,False,False,False
20,TONY STARK,"Which means, we’re dead in the water.  A thousand light years from the nearest 7-11.",Avengers: Endgame,2019.0,16,True,True,False,False,False,False,False,False,False,False,False
21,TONY STARK,Most of the quote-unquote ‘food’ and potable water ran out two weeks ago.,Avengers: Endgame,2019.0,13,True,True,False,False,False,False,False,False,False,False,False
22,TONY STARK,"Pep, I know I said no more surprises.  But, I gotta say, I was really hoping to pull off one last one.  But it looks like...well, you know what it looks like.",Avengers: Endgame,2019.0,34,True,True,False,False,False,False,False,False,False,False,False
23,TONY STARK,"Don’t feel bad about this.  I mean, actually, if you grovel for a couple weeks, and then move on with enormous guilt...I should probably lie down for a minute, rest my eyes.  Please know, when I drift off, it will be like every day lately.  I’m fine, totally fine. I’m going to dream about you.  It’s always you.",Avengers: Endgame,2019.0,62,True,True,False,False,False,False,False,False,False,False,False
24,TONY STARK,I couldn’t stop him.,Avengers: Endgame,2019.0,4,True,True,False,False,False,False,False,False,False,False,False
25,STEVE ROGERS,Neither could we.,Avengers: Endgame,2019.0,3,True,True,False,False,False,False,False,False,False,False,False
26,TONY STARK,I lost the kid.,Avengers: Endgame,2019.0,4,True,True,False,False,False,False,False,False,False,False,False
27,STEVE ROGERS,We...lost...,Avengers: Endgame,2019.0,1,True,True,False,False,False,False,False,False,False,False,False
28,TONY STARK,Is Pepper...?,Avengers: Endgame,2019.0,2,True,True,False,False,False,False,False,False,False,False,False
29,PEPPER POTTS,"Stay here, you stay right here- ",Avengers: Endgame,2019.0,7,True,True,False,False,False,False,False,False,False,False,False
30,TONY STARK,I’m not going anywhere.,Avengers: Endgame,2019.0,4,True,True,False,False,False,False,False,False,False,False,False
31,JAMES RHODES,It’s been twenty-three days since Thanos came to Earth.,Avengers: Endgame,2019.0,9,True,True,False,False,False,False,False,False,False,False,False
32,NATASHA ROMANOFF,"World governments are in pieces, as you can imagine.  But the parts that still work are trying to take a census.  It looks like he did what he said he was going to do.",Avengers: Endgame,2019.0,36,True,True,False,False,False,False,False,False,False,False,False
33,NATASHA ROMANOFF,Thanos wiped out fifty percent of all the living creatures on Earth.,Avengers: Endgame,2019.0,12,True,True,False,False,False,False,False,False,False,False,False
34,CAROL DANVERS,Not just Earth.,Avengers: Endgame,2019.0,3,True,True,False,False,False,False,False,False,False,False,False
35,JAMES RHODES,You sure about that?,Avengers: Endgame,2019.0,4,True,True,False,False,False,False,False,False,False,False,False
36,CAROL DANVERS,You never have to ask me that.,Avengers: Endgame,2019.0,7,True,True,False,False,False,False,False,False,False,False,False
37,TONY STARK,Where is he now?,Avengers: Endgame,2019.0,4,True,True,False,False,False,False,False,False,False,False,False
38,STEVE ROGERS,We don’t know.  He just opened a portal and walked through.,Avengers: Endgame,2019.0,12,True,True,False,False,False,False,False,False,False,False,False
39,TONY STARK,What’s his deal?,Avengers: Endgame,2019.0,3,True,True,False,False,False,False,False,False,False,False,False
40,ROCKET,He’s pissed.,Avengers: Endgame,2019.0,2,True,True,False,False,False,False,False,False,False,False,False
41,ROCKET,"He thinks he failed.  Which, of course, he did.  But there’s a lot of that going around, ain’t there? ",Avengers: Endgame,2019.0,22,True,True,False,False,False,False,False,False,False,False,False
42,TONY STARK,"Until this second, I literally thought you were a Build-a-Bear. ",Avengers: Endgame,2019.0,11,True,True,False,False,False,False,False,False,False,False,False
43,STEVE ROGERS,"We’ve been hunting Thanos for three weeks - deep space scans, satellites - we got nothing.  Tony, you fought him- ",Avengers: Endgame,2019.0,22,True,True,False,False,False,False,False,False,False,False,False
44,TONY STARK,"Who told you that?  I didn’t fight him, he wiped my face with a planet while a Bleecker Street magician gave away the store.  There was no fight because he’s not beatable. ",Avengers: Endgame,2019.0,35,True,True,False,False,False,False,False,False,False,False,False
45,STEVE ROGERS,"Did he give you anything to go on? Clues, coordinates- ",Avengers: Endgame,2019.0,11,True,True,False,False,False,False,False,False,False,False,False
46,TONY STARK,"I saw this coming, few years back. Didn’t wanna believe.  I thought I was dreaming... ",Avengers: Endgame,2019.0,17,True,True,False,False,False,False,False,False,False,False,False
47,STEVE ROGERS,"Tony, I need you to focus- ",Avengers: Endgame,2019.0,7,True,True,False,False,False,False,False,False,False,False,False
48,TONY STARK,"And I needed you, as in past tense. That trumps what you need.  It’s too late, buddy.  You know what I need?",Avengers: Endgame,2019.0,24,True,True,False,False,False,False,False,False,False,False,False
49,TONY STARK,"I need a shave and a burger, not a bowl of soup. And I believe I remember telling all of you, alive and otherwise, that we needed a suit of armor around the world, whether it impacted our precious freedoms or not- ",Avengers: Endgame,2019.0,43,True,True,False,False,False,False,False,False,False,False,False
50,STEVE ROGERS,"But that didn’t work out, did it? ",Avengers: Endgame,2019.0,8,True,True,False,False,False,False,False,False,False,False,False
51,TONY STARK,"I said we’d lose, you said we’d “do that together, too.”  Guess what, Cap, we lost, and you weren’t there.  But that’s what we do, right?  Our best work after the fact?  We’re the “Avengers”, not the “Pre-vengers-” ",Avengers: Endgame,2019.0,43,True,True,False,False,False,False,False,False,False,False,False
52,JAMES RHODES,"Tony, take it easy... ",Avengers: Endgame,2019.0,5,True,True,False,False,False,False,False,False,False,False,False
53,TONY STARK,"I’ve got nothing for ya, Cap.  No coordinates, no clues, no strategies, no options.  Zero, zip, nada.  No trust.  Here.  You take this.  You find him, you put this on, and hide.  I’m fine! ",Avengers: Endgame,2019.0,42,True,True,False,False,False,False,False,False,False,False,False
54,JAMES RHODES,Bruce gave him a sedative.  Should be out the rest of the day.,Avengers: Endgame,2019.0,14,True,True,False,False,False,False,False,False,False,False,False
55,CAROL DANVERS,"Take care of him.  When I come back, I’ll bring a bottle of Xorrian elixir. ",Avengers: Endgame,2019.0,17,True,True,False,False,False,False,False,False,False,False,False
56,STEVE ROGERS,Where are you going?,Avengers: Endgame,2019.0,4,True,True,False,False,False,False,False,False,False,False,False
57,CAROL DANVERS,To kill Thanos.,Avengers: Endgame,2019.0,3,True,True,False,False,False,False,False,False,False,False,False
58,NATASHA ROMANOFF,"Hey, hey, hang on.  We’re sort of a team here.  Between you and me, morale’s a little fragile. ",Avengers: Endgame,2019.0,21,True,True,False,False,False,False,False,False,False,False,False
59,CAROL DANVERS,"Oh, I’m sorry.  My fault. ",Avengers: Endgame,2019.0,7,True,True,False,False,False,False,False,False,False,False,False
60,CAROL DANVERS,"All right, team!  I’m going to go kill Thanos.  Message me if you get any intel that can help. Otherwise, I’ll report back when he’s dead.  Great work, everybody. ",Avengers: Endgame,2019.0,33,True,True,False,False,False,False,False,False,False,False,False
61,STEVE ROGERS,"Look, we realize “up there’s” more your territory, but this is our fight, too. ",Avengers: Endgame,2019.0,15,True,True,False,False,False,False,False,False,False,False,False
62,JAMES RHODES,Do you even know where he is?,Avengers: Endgame,2019.0,7,True,True,False,False,False,False,False,False,False,False,False
63,CAROL DANVERS,I know people who might-,Avengers: Endgame,2019.0,5,True,True,False,False,False,False,False,False,False,False,False
64,NEBULA,Don’t bother.,Avengers: Endgame,2019.0,2,True,True,False,False,False,False,False,False,False,False,False
65,NEBULA,I can tell you where Thanos is.,Avengers: Endgame,2019.0,7,True,True,False,False,False,False,False,False,False,False,False
66,NEBULA,"Thanos spent a long time trying to...perfect me.  When he worked, he talked.  About his Great Plan. Even disassembled, I wanted to please him.  I’d ask, where would we go once his plan was complete? His answer was always the same: “To the Garden.” ",Avengers: Endgame,2019.0,48,True,True,False,False,False,False,False,False,False,False,False
67,JAMES RHODES,You’re saying Thanos had a retirement plan.,Avengers: Endgame,2019.0,7,True,True,False,False,False,False,False,False,False,False,False
68,STEVE ROGERS,Where’s this garden?,Avengers: Endgame,2019.0,3,True,True,False,False,False,False,False,False,False,False,False
69,ROCKET,"When Thanos snapped his fingers, Earth become ground zero for a power surge of ridiculously cosmic proportions.  No one’s seen anything like it.",Avengers: Endgame,2019.0,24,True,True,False,False,False,False,False,False,False,False,False
70,ROCKET,Until two days ago.,Avengers: Endgame,2019.0,4,True,True,False,False,False,False,False,False,False,False,False
71,NATASHA ROMANOFF,You’re saying he snapped his fingers again.  Where?,Avengers: Endgame,2019.0,9,True,True,False,False,False,False,False,False,False,False,False
72,NEBULA,"Planet is unnamed, but inhabitable. Rich atmosphere, good soil- ",Avengers: Endgame,2019.0,10,True,True,False,False,False,False,False,False,False,False,False
73,STEVE ROGERS,A garden.,Avengers: Endgame,2019.0,2,True,True,False,False,False,False,False,False,False,False,False
74,BRUCE BANNER,Thanos is there.  And he just used the stones.,Avengers: Endgame,2019.0,10,True,True,False,False,False,False,False,False,False,False,False
75,BRUCE BANNER,"You know, we’d be going short- handed. ",Avengers: Endgame,2019.0,8,True,True,False,False,False,False,False,False,False,False,False
76,JAMES RHODES,Because he killed all our friends.,Avengers: Endgame,2019.0,6,True,True,False,False,False,False,False,False,False,False,False
77,ROCKET,Are we saying they’re dead?  We’re using that word now?,Avengers: Endgame,2019.0,11,True,True,False,False,False,False,False,False,False,False,False
78,JAMES RHODES,He’s still got the stones.,Avengers: Endgame,2019.0,5,True,True,False,False,False,False,False,False,False,False,False
79,CAROL DANVERS,"So, we take them.  And we use them to bring everybody back. ",Avengers: Endgame,2019.0,14,True,True,False,False,False,False,False,False,False,False,False
80,BRUCE BANNER,Just like that?,Avengers: Endgame,2019.0,3,True,True,False,False,False,False,False,False,False,False,False
81,STEVE ROGERS,Yeah.  Just like that.,Avengers: Endgame,2019.0,5,True,True,False,False,False,False,False,False,False,False,False
82,NATASHA ROMANOFF,"If there’s even the smallest chance we can undo this, then we owe it to everyone who’s not sitting here to try.",Avengers: Endgame,2019.0,22,True,True,False,False,False,False,False,False,False,False,False
83,BRUCE BANNER,If we do this...why would it end any differently than it did before?,Avengers: Endgame,2019.0,13,True,True,False,False,False,False,False,False,False,False,False
84,CAROL DANVERS,Because before you didn’t have me.,Avengers: Endgame,2019.0,6,True,True,False,False,False,False,False,False,False,False,False
85,JAMES RHODES,"Hey, new girl.  All of us in here are about that superhero life. Where’ve you been all this time? ",Avengers: Endgame,2019.0,21,True,True,False,False,False,False,False,False,False,False,False
86,CAROL DANVERS,There’s a lot of people in the universe.  And they didn’t all have you.,Avengers: Endgame,2019.0,15,True,True,False,False,False,False,False,False,False,False,False
87,THOR,I like this one.,Avengers: Endgame,2019.0,4,True,True,False,False,False,False,False,False,False,False,False
88,STEVE ROGERS,Let’s go get that son of a bitch.,Avengers: Endgame,2019.0,8,True,True,False,False,False,False,False,False,False,False,False
89,CAROL DANVERS,Trust me.  You get used to it.,Avengers: Endgame,2019.0,8,True,True,False,False,False,False,False,False,False,False,False
90,ROCKET,"Okay, who here hasn’t been to space?",Avengers: Endgame,2019.0,7,True,True,False,False,False,False,False,False,False,False,False
91,ROCKET,"Oh, you’re gonna hate this. ",Avengers: Endgame,2019.0,6,True,True,False,False,False,False,False,False,False,False,False
92,NEBULA,"Approaching jump in three, two...",Avengers: Endgame,2019.0,5,True,True,False,False,False,False,False,False,False,False,False
93,CAROL DANVERS,"I’ll head down for recon.  If I’m not back in fifteen, you’ll know I found him.",Avengers: Endgame,2019.0,17,True,True,False,False,False,False,False,False,False,False,False
94,NATASHA ROMANOFF,"This is going to work, Steve. ",Avengers: Endgame,2019.0,7,True,True,False,False,False,False,False,False,False,False,False
95,STEVE ROGERS,I know it will.  Because I don’t know what I’m going to do if it doesn’t.,Avengers: Endgame,2019.0,17,True,True,False,False,False,False,False,False,False,False,False
96,CAROL DANVERS,"No satellites, no ships, no armies. No ground defenses of any kind. It’s just him. ",Avengers: Endgame,2019.0,16,True,True,False,False,False,False,False,False,False,False,False
97,NEBULA,That’s enough.,Avengers: Endgame,2019.0,2,True,True,False,False,False,False,False,False,False,False,False
98,STEVE ROGERS,Where are they?,Avengers: Endgame,2019.0,3,True,True,False,False,False,False,False,False,False,False,False
99,CAROL DANVERS,Answer the question!,Avengers: Endgame,2019.0,3,True,True,False,False,False,False,False,False,False,False,False
100,THANOS,"The universe required correction. After that, the stones served no purpose beyond temptation. ",Avengers: Endgame,2019.0,14,True,True,False,False,False,False,False,False,False,False,False
101,BRUCE BANNER,You murdered trillions.,Avengers: Endgame,2019.0,3,True,True,False,False,False,False,False,False,False,False,False
102,THANOS,You should be grateful.,Avengers: Endgame,2019.0,4,True,True,False,False,False,False,False,False,False,False,False
103,NATASHA ROMANOFF,Where are the stones?,Avengers: Endgame,2019.0,4,True,True,False,False,False,False,False,False,False,False,False
104,THANOS,Gone.  Reduced to atoms.,Avengers: Endgame,2019.0,5,True,True,False,False,False,False,False,False,False,False,False
105,BRUCE BANNER,You used them two days ago!,Avengers: Endgame,2019.0,6,True,True,False,False,False,False,False,False,False,False,False
106,THANOS,I used the stones to destroy the stones.  It nearly killed me. But the work is done.  It always will be.,Avengers: Endgame,2019.0,23,True,True,False,False,False,False,False,False,False,False,False
107,ROCKET,No...they can’t be gone...,Avengers: Endgame,2019.0,4,True,True,False,False,False,False,False,False,False,False,False
108,JAMES RHODES,He’s lying.,Avengers: Endgame,2019.0,2,True,True,False,False,False,False,False,False,False,False,False
109,NEBULA,My father is many things.  A liar is not one of them.,Avengers: Endgame,2019.0,13,True,True,False,False,False,False,False,False,False,False,False
110,THANOS,"Thank you, daughter.  Perhaps I’ve treated you- ",Avengers: Endgame,2019.0,9,True,True,False,False,False,False,False,False,False,False,False
111,ROCKET,What did you do?,Avengers: Endgame,2019.0,4,True,True,False,False,False,False,False,False,False,False,False
112,THOR,I went for the head.,Avengers: Endgame,2019.0,5,True,True,False,False,False,False,False,False,False,False,False
113,GRIEVING MAN,"So, I went on a date the other day. ",Avengers: Endgame,2019.0,10,True,True,False,False,False,False,False,False,False,False,False
114,AVENGERS JIMMY,"Good job, Bobby.  Back in the game. ",Avengers: Endgame,2019.0,9,True,True,False,False,False,False,False,False,False,False,False
115,GRIEVING MAN,"Thank you, Jimmy.  First in five years.  I sat there at dinner thinking, what are we even supposed to talk about?",Avengers: Endgame,2019.0,23,True,True,False,False,False,False,False,False,False,False,False
116,STEVE ROGERS,What did you talk about?,Avengers: Endgame,2019.0,5,True,True,False,False,False,False,False,False,False,False,False
117,GRIEVING MAN,"Same old crap.  How much things have changed.  How much we miss the Mets.  My job, his job.  Then it got kind of quiet.  He cried during the salads. ",Avengers: Endgame,2019.0,35,True,True,False,False,False,False,False,False,False,False,False
118,OLDER MAN,What about you?,Avengers: Endgame,2019.0,3,True,True,False,False,False,False,False,False,False,False,False
119,GRIEVING MAN,I cried just before dessert.  But I’m seeing him again tomorrow. So...,Avengers: Endgame,2019.0,13,True,True,False,False,False,False,False,False,False,False,False
120,STEVE ROGERS,"That’s great.  You’ve already done the hardest part.  You took a jump, didn’t know where you’d come down. And that’s it, those little brave baby steps we’ve gotta take.  To try to make us feel whole again, to find a purpose... I went into the ice right after I met the love of my life.  Woke up seventy years later and...had to keep going.",Avengers: Endgame,2019.0,68,True,True,False,False,False,False,False,False,False,False,False
121,STEVE ROGERS,The world’s been left in our hands. If we don’t do something with it...then Thanos might as well have killed all of us. ,Avengers: Endgame,2019.0,24,True,True,False,False,False,False,False,False,False,False,False
122,SCOTT LANG,Hello?,Avengers: Endgame,2019.0,1,True,True,False,False,False,False,False,False,False,False,False
123,SCOTT LANG,Hey.  Kid.  What happened here?,Avengers: Endgame,2019.0,7,True,True,False,False,False,False,False,False,False,False,False
124,SCOTT LANG,What?,Avengers: Endgame,2019.0,1,True,True,False,False,False,False,False,False,False,False,False
125,SCOTT LANG,Cassie!  Cassie!,Avengers: Endgame,2019.0,3,True,True,False,False,False,False,False,False,False,False,False
126,CASSIE LANG,Dad?,Avengers: Endgame,2019.0,1,True,True,False,False,False,False,False,False,False,False,False
127,SCOTT LANG,Peanut?,Avengers: Endgame,2019.0,1,True,True,False,False,False,False,False,False,False,False,False
128,CASSIE LANG,I thought you were gone.,Avengers: Endgame,2019.0,5,True,True,False,False,False,False,False,False,False,False,False
129,SCOTT LANG,I’m sorry.  I’m back...I’m back...I’m back...,Avengers: Endgame,2019.0,7,True,True,False,False,False,False,False,False,False,False,False
130,ROCKET,We boarded that “highly suspect warship” Danvers pinged.,Avengers: Endgame,2019.0,8,True,True,False,False,False,False,False,False,False,False,False
131,NATASHA ROMANOFF,And?,Avengers: Endgame,2019.0,1,True,True,False,False,False,False,False,False,False,False,False
132,NEBULA,It was an infectious garbage scow.,Avengers: Endgame,2019.0,6,True,True,False,False,False,False,False,False,False,False,False
133,ROCKET,So thanks for the hot tip-,Avengers: Endgame,2019.0,6,True,True,False,False,False,False,False,False,False,False,False
134,CAROL DANVERS,You were closer.,Avengers: Endgame,2019.0,3,True,True,False,False,False,False,False,False,False,False,False
135,ROCKET,And now we smell like garbage-,Avengers: Endgame,2019.0,6,True,True,False,False,False,False,False,False,False,False,False
136,NATASHA ROMANOFF,You get a reading on those tremors?,Avengers: Endgame,2019.0,7,True,True,False,False,False,False,False,False,False,False,False
137,OKOYE,Minor subduction in the African plate.,Avengers: Endgame,2019.0,6,True,True,False,False,False,False,False,False,False,False,False
138,NATASHA ROMANOFF,Do we have a visual?  How are you handling it?,Avengers: Endgame,2019.0,11,True,True,False,False,False,False,False,False,False,False,False
139,OKOYE,Nat.  It was a mild earthquake.  In the ocean.  We handle it by not handling it.,Avengers: Endgame,2019.0,19,True,True,False,False,False,False,False,False,False,False,False
140,JAMES RHODES,"I can have NASA redirect a satellite, do a sweep just to make sure. ",Avengers: Endgame,2019.0,15,True,True,False,False,False,False,False,False,False,False,False
141,NATASHA ROMANOFF,"Thanks.  Carol, you’re still coming our way next month? ",Avengers: Endgame,2019.0,11,True,True,False,False,False,False,False,False,False,False,False
142,CAROL DANVERS,Not likely.,Avengers: Endgame,2019.0,2,True,True,False,False,False,False,False,False,False,False,False
143,ROCKET,Getting another haircut?,Avengers: Endgame,2019.0,3,True,True,False,False,False,False,False,False,False,False,False
144,CAROL DANVERS,"Listen, fur-face, I’m covering a lot of territory out here.  The things that have been happening on Earth have been happening everywhere else.  On thousands of planets.  You might not see me for a long time. ",Avengers: Endgame,2019.0,40,True,True,False,False,False,False,False,False,False,False,False
145,NATASHA ROMANOFF,"All right.  Everybody keep keeping their eyes open.  This channel’s always active.  Anything goes sideways, anyone makes trouble where they shouldn’t, it comes through me.",Avengers: Endgame,2019.0,28,True,True,False,False,False,False,False,False,False,False,False
146,NATASHA ROMANOFF,What’s up?  Where are you?,Avengers: Endgame,2019.0,6,True,True,False,False,False,False,False,False,False,False,False
147,JAMES RHODES,Mexico.  Got some news.,Avengers: Endgame,2019.0,5,True,True,False,False,False,False,False,False,False,False,False
148,NATASHA ROMANOFF,Okay...,Avengers: Endgame,2019.0,1,True,True,False,False,False,False,False,False,False,False,False
149,JAMES RHODES,Federalés found a room full of bodies outside Juarez.  Cartel guys.  Guns still in their pants.,Avengers: Endgame,2019.0,18,True,True,False,False,False,False,False,False,False,False,False
150,NATASHA ROMANOFF,Could be a rival hit-,Avengers: Endgame,2019.0,5,True,True,False,False,False,False,False,False,False,False,False
151,JAMES RHODES,But it wasn’t.  Same MO as Marseille.  And Kiev.,Avengers: Endgame,2019.0,11,True,True,False,False,False,False,False,False,False,False,False
152,JAMES RHODES,It’s definitely Barton.,Avengers: Endgame,2019.0,3,True,True,False,False,False,False,False,False,False,False,False
153,JAMES RHODES,"What he’s done here...what he’s been doing...I got to tell you, part of me doesn’t want to find him.",Avengers: Endgame,2019.0,19,True,True,False,False,False,False,False,False,False,False,False
154,NATASHA ROMANOFF,Find out where’s he going next.,Avengers: Endgame,2019.0,6,True,True,False,False,False,False,False,False,False,False,False
155,STEVE ROGERS,I’d offer to cook you dinner but you seem sad enough already.,Avengers: Endgame,2019.0,12,True,True,False,False,False,False,False,False,False,False,False
156,NATASHA ROMANOFF,Come by to do your laundry?,Avengers: Endgame,2019.0,6,True,True,False,False,False,False,False,False,False,False,False
157,STEVE ROGERS,And see a friend.,Avengers: Endgame,2019.0,4,True,True,False,False,False,False,False,False,False,False,False
158,NATASHA ROMANOFF,Your friend’s fine.,Avengers: Endgame,2019.0,3,True,True,False,False,False,False,False,False,False,False,False
159,STEVE ROGERS,She leave the house today?,Avengers: Endgame,2019.0,5,True,True,False,False,False,False,False,False,False,False,False
160,NATASHA ROMANOFF,Nothing out there I particularly want to see.,Avengers: Endgame,2019.0,8,True,True,False,False,False,False,False,False,False,False,False
161,STEVE ROGERS,I spotted a pod of whales coming over the bridge.,Avengers: Endgame,2019.0,10,True,True,False,False,False,False,False,False,False,False,False
162,NATASHA ROMANOFF,In the Hudson.,Avengers: Endgame,2019.0,3,True,True,False,False,False,False,False,False,False,False,False
163,STEVE ROGERS,"Fewer ships, cleaner water.  Just saying, there’s still a world out there. ",Avengers: Endgame,2019.0,14,True,True,False,False,False,False,False,False,False,False,False
164,NATASHA ROMANOFF,"If you’re about to tell me to look on the bright side, I’m about to hit you with a peanut butter sandwich.",Avengers: Endgame,2019.0,22,True,True,False,False,False,False,False,False,False,False,False
165,STEVE ROGERS,Sorry.  Force of habit.,Avengers: Endgame,2019.0,5,True,True,False,False,False,False,False,False,False,False,False
166,NATASHA ROMANOFF,I don’t know how you do it.,Avengers: Endgame,2019.0,7,True,True,False,False,False,False,False,False,False,False,False
167,STEVE ROGERS,I guess I don’t know how not to.,Avengers: Endgame,2019.0,8,True,True,False,False,False,False,False,False,False,False,False
168,NATASHA ROMANOFF,"Me, neither.",Avengers: Endgame,2019.0,2,True,True,False,False,False,False,False,False,False,False,False
169,STEVE ROGERS,"I keep telling them, move on.  Grow past it.  And some of them actually do.  But not us. ",Avengers: Endgame,2019.0,22,True,True,False,False,False,False,False,False,False,False,False
170,NATASHA ROMANOFF,"If I move on, who does this? ",Avengers: Endgame,2019.0,8,True,True,False,False,False,False,False,False,False,False,False
171,STEVE ROGERS,Maybe it doesn’t need to be done.,Avengers: Endgame,2019.0,7,True,True,False,False,False,False,False,False,False,False,False
172,NATASHA ROMANOFF,"I used to have nothing.  Then I got this.  This job, this family.  And I was better because of it.",Avengers: Endgame,2019.0,23,True,True,False,False,False,False,False,False,False,False,False
173,NATASHA ROMANOFF,"And even though they’re gone, I’m still trying to be...better. ",Avengers: Endgame,2019.0,11,True,True,False,False,False,False,False,False,False,False,False
174,STEVE ROGERS,I think we both need to get a life.,Avengers: Endgame,2019.0,9,True,True,False,False,False,False,False,False,False,False,False
175,NATASHA ROMANOFF,You first.,Avengers: Endgame,2019.0,2,True,True,False,False,False,False,False,False,False,False,False
176,SCOTT LANG,"Hello?  Is anyone home?  This is, uh, Scott Lang?  We met a few years ago.  At the airport? ",Avengers: Endgame,2019.0,23,True,True,False,False,False,False,False,False,False,False,False
177,STEVE ROGERS,This an old message?,Avengers: Endgame,2019.0,4,True,True,False,False,False,False,False,False,False,False,False
178,NATASHA ROMANOFF,It’s the front gate.,Avengers: Endgame,2019.0,4,True,True,False,False,False,False,False,False,False,False,False
179,STEVE ROGERS,"Scott, are you okay? ",Avengers: Endgame,2019.0,5,True,True,False,False,False,False,False,False,False,False,False
180,SCOTT LANG,What?  Yes.,Avengers: Endgame,2019.0,3,True,True,False,False,False,False,False,False,False,False,False
181,SCOTT LANG,Have either of you guys ever studied quantum physics?,Avengers: Endgame,2019.0,9,True,True,False,False,False,False,False,False,False,False,False
182,NATASHA ROMANOFF,Only to make conversation.,Avengers: Endgame,2019.0,4,True,True,False,False,False,False,False,False,False,False,False
183,SCOTT LANG,"Well, five years ago, just before this Thanos guy...I went into a place called the Quantum Realm. It’s like its own microscopic universe.  You can only get there if you’re incredibly small.  Hope, she’s my...she was supposed to pull me out.  But then Thanos happened. And I was stuck in there. ",Avengers: Endgame,2019.0,55,True,True,False,False,False,False,False,False,False,False,False
184,NATASHA ROMANOFF,I’m sorry.  It must’ve been a long five years.,Avengers: Endgame,2019.0,10,True,True,False,False,False,False,False,False,False,False,False
185,SCOTT LANG,"Okay, but that’s the thing.  It wasn’t.  For me, it was only five hours.  The rules in the Quantum Realm aren’t like out here. They’re completely unpredictable. Is anybody gonna eat that sandwich? ",Avengers: Endgame,2019.0,37,True,True,False,False,False,False,False,False,False,False,False
186,STEVE ROGERS,"Scott, what are you talking about? ",Avengers: Endgame,2019.0,7,True,True,False,False,False,False,False,False,False,False,False
187,SCOTT LANG,Time works differently in the Quantum Realm.,Avengers: Endgame,2019.0,7,True,True,False,False,False,False,False,False,False,False,False
